video_id,filename,filepath,priority,word_count,character_count
-1eIiYUBnNY,-1eIiYUBnNY.en-orig.txt,data/transcripts/-1eIiYUBnNY.en-orig.txt,1,447,2404
-NUUwmholow,-NUUwmholow.en-orig.txt,data/transcripts/-NUUwmholow.en-orig.txt,1,2825,15064
-cS3YaCShng,-cS3YaCShng.en-orig.txt,data/transcripts/-cS3YaCShng.en-orig.txt,1,988,5425
-fA6BrCVZZA,-fA6BrCVZZA.txt,data/transcripts/-fA6BrCVZZA.txt,4,634,3456
-nhi-zvx3ms,-nhi-zvx3ms.en-orig.txt,data/transcripts/-nhi-zvx3ms.en-orig.txt,1,296,1586
-rR2AxYZD6c,-rR2AxYZD6c.en-orig.txt,data/transcripts/-rR2AxYZD6c.en-orig.txt,1,326,1973
09AHHhQJPH4,09AHHhQJPH4.txt,data/transcripts/09AHHhQJPH4.txt,4,93,428
0LTozZKV7f8,0LTozZKV7f8.en-orig.txt,data/transcripts/0LTozZKV7f8.en-orig.txt,1,118,658
0Of66fxq4FI,0Of66fxq4FI.en.txt,data/transcripts/0Of66fxq4FI.en.txt,2,742,5132
0QWti9FMcgs,0QWti9FMcgs.en-orig.txt,data/transcripts/0QWti9FMcgs.en-orig.txt,1,577,3166
0neaOfzxy3Y,0neaOfzxy3Y.en.txt,data/transcripts/0neaOfzxy3Y.en.txt,2,10143,55331
0xD29uC3Pow,0xD29uC3Pow.en-orig.txt,data/transcripts/0xD29uC3Pow.en-orig.txt,1,4530,26277
14z7QKI0f6s,14z7QKI0f6s.txt,data/transcripts/14z7QKI0f6s.txt,4,23890,116510
1NcXFB8lQmo,1NcXFB8lQmo.en-orig.txt,data/transcripts/1NcXFB8lQmo.en-orig.txt,1,4239,23920
1kEjSd8i7Wc,1kEjSd8i7Wc.en-orig.txt,data/transcripts/1kEjSd8i7Wc.en-orig.txt,1,4848,27851
1qT4xNS0Ws8,1qT4xNS0Ws8.en-orig.txt,data/transcripts/1qT4xNS0Ws8.en-orig.txt,1,4254,22571
27RPeMZIi3Y,27RPeMZIi3Y.en-orig.txt,data/transcripts/27RPeMZIi3Y.en-orig.txt,1,3039,15799
2JVFSCquwZo,2JVFSCquwZo.txt,data/transcripts/2JVFSCquwZo.txt,4,480,2240
2bLkp7yodN8,2bLkp7yodN8.en-orig.txt,data/transcripts/2bLkp7yodN8.en-orig.txt,1,5,35
2oT23PVUDnA,2oT23PVUDnA.en-orig.txt,data/transcripts/2oT23PVUDnA.en-orig.txt,1,331,1926
32R2UVxQux4,32R2UVxQux4.en.txt,data/transcripts/32R2UVxQux4.en.txt,2,490,2746
3Q-SJNzS6Mg,3Q-SJNzS6Mg.en.txt,data/transcripts/3Q-SJNzS6Mg.en.txt,2,495,2877
3RIrHb19anM,3RIrHb19anM.en-orig.txt,data/transcripts/3RIrHb19anM.en-orig.txt,1,1365,7242
3cea1qcbIIs,3cea1qcbIIs.txt,data/transcripts/3cea1qcbIIs.txt,4,930,5312
3u156-yCTbU,3u156-yCTbU.en.txt,data/transcripts/3u156-yCTbU.en.txt,2,373,1963
42a7bYUS4HI,42a7bYUS4HI.txt,data/transcripts/42a7bYUS4HI.txt,4,11014,61022
4Cob6uu3pww,4Cob6uu3pww.en.txt,data/transcripts/4Cob6uu3pww.en.txt,2,23701,131975
4a9GieNT4Z8,4a9GieNT4Z8.txt,data/transcripts/4a9GieNT4Z8.txt,4,8699,49385
4le2T-Ww-Iw,4le2T-Ww-Iw.en-orig.txt,data/transcripts/4le2T-Ww-Iw.en-orig.txt,1,1808,9883
4nDCyJx-uPA,4nDCyJx-uPA.txt,data/transcripts/4nDCyJx-uPA.txt,4,22719,104942
4vTJHUDB5ak,4vTJHUDB5ak.en-orig.txt,data/transcripts/4vTJHUDB5ak.en-orig.txt,1,5670,28678
5R1yX_2iFbM,5R1yX_2iFbM.txt,data/transcripts/5R1yX_2iFbM.txt,4,5371,29357
5RE5DlLU-4g,5RE5DlLU-4g.txt,data/transcripts/5RE5DlLU-4g.txt,4,4511,24630
67TL2nk8bcI,67TL2nk8bcI.en-orig.txt,data/transcripts/67TL2nk8bcI.en-orig.txt,1,15413,80982
68c5t5qGytY,68c5t5qGytY.en.txt,data/transcripts/68c5t5qGytY.en.txt,2,1492,7514
6RcHuAr8s70,6RcHuAr8s70.en-orig.txt,data/transcripts/6RcHuAr8s70.en-orig.txt,1,3334,16781
6rjtuqh5o4Y,6rjtuqh5o4Y.txt,data/transcripts/6rjtuqh5o4Y.txt,4,128,718
6tCRnISpRVo,6tCRnISpRVo.en-orig.txt,data/transcripts/6tCRnISpRVo.en-orig.txt,1,673,3608
6z4gFHnMa2Q,6z4gFHnMa2Q.en-orig.txt,data/transcripts/6z4gFHnMa2Q.en-orig.txt,1,1122,6319
71f-qB4FG2o,71f-qB4FG2o.txt,data/transcripts/71f-qB4FG2o.txt,4,419,2590
76pKrIr7FlM,76pKrIr7FlM.en-orig.txt,data/transcripts/76pKrIr7FlM.en-orig.txt,1,9594,52742
7F4ICws26p4,7F4ICws26p4.txt,data/transcripts/7F4ICws26p4.txt,4,982,4577
7QsGyBDLrmg,7QsGyBDLrmg.txt,data/transcripts/7QsGyBDLrmg.txt,4,23,178
7WPQ2ekm7ZM,7WPQ2ekm7ZM.en-orig.txt,data/transcripts/7WPQ2ekm7ZM.en-orig.txt,1,9838,56349
7ZaCm7PfUNs,7ZaCm7PfUNs.en-orig.txt,data/transcripts/7ZaCm7PfUNs.en-orig.txt,1,1978,10597
7juBq6m1U2o,7juBq6m1U2o.en.txt,data/transcripts/7juBq6m1U2o.en.txt,2,21,150
7nWJrh6-umI,7nWJrh6-umI.en-orig.txt,data/transcripts/7nWJrh6-umI.en-orig.txt,1,6404,33407
7zGVGDZPxxA,7zGVGDZPxxA.en-orig.txt,data/transcripts/7zGVGDZPxxA.en-orig.txt,1,14537,75741
8JU0npV6xTc,8JU0npV6xTc.en-orig.txt,data/transcripts/8JU0npV6xTc.en-orig.txt,1,6,43
8M2mJTSxnWM,8M2mJTSxnWM.en-orig.txt,data/transcripts/8M2mJTSxnWM.en-orig.txt,1,1239,6982
8QTYAyi0iD4,8QTYAyi0iD4.txt,data/transcripts/8QTYAyi0iD4.txt,4,6305,37466
8gF-MEQlYCM,8gF-MEQlYCM.en-orig.txt,data/transcripts/8gF-MEQlYCM.en-orig.txt,1,345,1889
