channel,2024,2025,2026
Ashima Gupta (VedaQHealthfulness),0,2,0
CGI Shanghai,0,3,0
CNN-News18,2,1,0
DD India,1,4,0
Drishti IAS,1,1,0
EMPC-IGNOU,1,1,0
EVAULTO,1,1,0
Fact Navigate,0,2,1
Firstpost,0,2,0
India Today,4,3,0
Kaivalyadhama Yoga Institute,0,2,0
Kankidham Arogya Kendra,0,2,0
MOM&MISHKA,1,1,0
Ministry of Ayush,1,4,0
Ministry of Information & Broadcasting,7,1,0
Nirogi Duniya,0,3,0
Sansad TV,0,2,0
SheelTalks,2,0,0
The Light,0,3,0
Vamadeva Yoga,0,2,0
Vasudeva Kriya Yoga With Rajendra,0,3,0
WION,12,1,0
Yog Yogi Yoga,1,1,0
Yogahitha Foundation,0,2,0
wswd 2025,0,4,0
