video_id,in_phase2,in_v1,has_transcript,status
-1eIiYUBnNY,False,True,True,legacy_only_with_transcript
-4zfwCjtwQo,True,False,False,phase2_missing_transcript
-8kiR-YOgsY,True,False,False,phase2_missing_transcript
-BJSDdD4mTw,False,True,False,legacy_only
-Bvnlu8VQu4,False,True,False,legacy_only
-DrjPSadlrw,True,False,False,phase2_missing_transcript
-FeH77DSJTk,False,True,False,legacy_only
-GLlPK6NuhA,False,True,False,legacy_only
-L75Y1gO1a8,False,True,False,legacy_only
-LmL6cKFOFE,False,True,False,legacy_only
-NUUwmholow,False,True,True,legacy_only_with_transcript
-NghXPxXi-M,True,False,False,phase2_missing_transcript
-WmXnO98QYs,True,False,False,phase2_missing_transcript
-ZxrdlQe_78,True,False,False,phase2_missing_transcript
-_Zn3F279mM,True,False,False,phase2_missing_transcript
-asdhNHzVTU,True,False,False,phase2_missing_transcript
-cS3YaCShng,False,True,True,legacy_only_with_transcript
-fA6BrCVZZA,False,True,True,legacy_only_with_transcript
-nhi-zvx3ms,False,True,True,legacy_only_with_transcript
-pOwf3m8HBE,True,False,False,phase2_missing_transcript
-qBsODoJEPU,True,False,False,phase2_missing_transcript
-rR2AxYZD6c,False,True,True,legacy_only_with_transcript
-uHVd3P41SY,False,True,False,legacy_only
-uUZHLjVqOs,False,True,False,legacy_only
02u0sbxZMuE,True,False,False,phase2_missing_transcript
07DNOoKEE4w,False,True,False,legacy_only
09AHHhQJPH4,False,True,True,legacy_only_with_transcript
0ATwmzKsHts,True,False,False,phase2_missing_transcript
0IuzVXWDTy0,False,True,False,legacy_only
0LTozZKV7f8,False,True,True,legacy_only_with_transcript
0Ngo81oHEp4,False,True,False,legacy_only
0OCahmfR-do,True,False,False,phase2_missing_transcript
0Of66fxq4FI,False,True,True,legacy_only_with_transcript
0QWti9FMcgs,False,True,True,legacy_only_with_transcript
0T_qOiw2Xuk,True,False,False,phase2_missing_transcript
0UYfOSQnfw4,False,True,False,legacy_only
0Uxhco6qwFo,True,False,False,phase2_missing_transcript
0XoCpPXlV4w,True,False,False,phase2_missing_transcript
0_LsEX9HOjE,True,False,False,phase2_missing_transcript
0cqHIobg34w,False,True,False,legacy_only
0czz-i929eg,False,True,False,legacy_only
0dhPayseW-A,False,True,False,legacy_only
0kvgZGlb1n4,False,True,False,legacy_only
0neaOfzxy3Y,False,True,True,legacy_only_with_transcript
0sbRipuelcc,False,True,False,legacy_only
0wJKeCwiNTM,True,False,False,phase2_missing_transcript
0xBMWCpm-ZY,True,False,False,phase2_missing_transcript
0xD29uC3Pow,False,True,True,legacy_only_with_transcript
12r5J6PNQ7s,True,False,False,phase2_missing_transcript
14z7QKI0f6s,False,True,True,legacy_only_with_transcript
18JmunPiPgg,False,True,False,legacy_only
1MrNuZAVkHo,False,True,False,legacy_only
1NcXFB8lQmo,False,True,True,legacy_only_with_transcript
1W5pKg3bbss,True,False,False,phase2_missing_transcript
1agUOx059xg,False,True,False,legacy_only
1ekReECA7t4,False,True,False,legacy_only
1hxz_M2JSsI,True,False,False,phase2_missing_transcript
