video_id,title,channel,upload_date,duration,view_count,year
oYLY4KyNukI,International Yoga Day 2024 | 2024 Theme: Yoga for self and society | World News | WION,WION,20240621,289,2357,2024
DQG9Bcq3Sgs,International Yoga Day 2024: 10th International day of Yoga across the globe | Latest News | WION,WION,20240621,411,1719,2024
LmgN-lRJ3TA,International Yoga Day 2024: How India is connecting the world through Yoga | WION,WION,20240621,391,479,2024
yZ9hNDlqwjU,"2024 Year Marks the 10th International Day Of Yoga With The Theme ""Yoga For Self And Society""",CNN-News18,20240621,597,1352,2024
vRA895CMn1o,International Yoga Day 2024: Indian PM Modi to lead 10th International Day of Yoga | World DNA LIVE,WION,20240621,2925,11143,2024
wXO2eKyoSPA,International Yoga Day | UPSC | Drishti IAS English,Drishti IAS : English,20250621,531,4715,2025
zkK_I-VW6wo,Happy International Yoga Day!  | Yoga Poses for a Better You | #internationalyogaday2024,USR Indu Samiti,20240621,257,3232,2024
VbC5UGqsh24,"International Yoga Day 2024: From New York To New Zealand, The World Celebrates Yoga Day | WION",WION,20240621,145,2957,2024
Jp5n2uTR6oA,“Finding Balance and Calmness through Yoga-Meditation” | 2024 International Yoga Day | English,Yogoda Satsanga Society of India,20240616,3449,8801,2024
lKQ3WGLDBjQ,International Yoga Day 2024 LIVE: PM Modi leads International Day of Yoga celebration from Srinagar,WION,20240621,1355,981,2024
tjT9Sq7MOz0,International Yoga Day 2024 LIVE: PM Modi leads International Day of Yoga celebration from Srinagar,WION,20240621,445,774,2024
4qSSo747st4,International Yoga Day 2024: PM Modi leads Yoga Day celebration in Srinagar | WION Originals,WION,20240621,79,2696,2024
lO7RbqPwyz4,International Yoga Day 2024: How India is connecting the world through Yoga | World News | WION,WION,20240621,264,1224,2024
4cMhh-ZPxkU,International Yoga Day 2024 Yoga demonstration,Yogatali -Traditional Yoga,20240617,492,1168,2024
fbpwpTzF-oY,International Yoga Day 2024: Celebrities who have embraced Yoga | World DNA | WION,WION,20240621,121,997,2024
KSzORKlymhM,International Yoga Day 2024 #yoga,EVAULTO,20240620,64,1432,2024
Q-x-DX47QJo,International Yoga Day 2024: Yoga In New York's Times Square For Summer Solstice | US News | N18G,CNBC-TV18,20240621,4114,6675,2024
TFhoDtY-pUM,International Yoga Day   2024,TNAU TV,20240621,6140,2089,2024
HSYN-yVTbqI,INTERNATIONAL YOGA DAY - 2024,GREEN VALLEY INTERNATIONAL SCHOOL,20240621,138,1523,2024
wT6dfzpGSNE,International Yoga Day 2024 || Slow & Mindful Living In Tokyo.,sanyogi rooted soul,20240624,1086,58,2024
N4cNi6c6qVw,International Yoga Day | Chandra Namaskar | Song - Adiyogi,Sandhya Chavan,20250621,255,50921,2025
UVoznB0DW5k,International Yoga Day 2024: Celebrities who have embraced Yoga,WION,20240621,126,2292,2024
qwRCjUBN3Ns,International Yoga Day 2024: Yoga Day Celebrations In Full Swing In India & Beyond | India Today,India Today,20240621,828,432,2024
rAJU5AsaTcc,Take A Breath 2024| International Yoga Day,Decathlon Sports India,20240708,26,368,2024
qGQ-TvsT9pk,PM Modi's Leadership in Promoting Yoga: International Day of Yoga and AYUSH Initiatives | IDY 2024,DD India,20240620,152,4780,2024
CV4QoG5Emxs,International Yoga Day 2024: BSF Officials Celebrate Yoga Day 2024 With Meditation & Mindfulness,India Today,20240621,857,579,2024
QVr_291uyG8,Theme of International Yoga Day 2024/International Yoga Day Theme 2024/Yoga Day Theme,Minakshi's Classroom,20240612,33,3637,2024
4ToNpt4dAMc,NIRVANA SHATAKAM | international yoga day 2024 |YOGA CHAITHANYA,YOGA CHAITHANYA,20240702,319,1080,2024
6qYYbjmn6LM,International Yoga Day Special Quiz - International Day of Yoga Quiz 2024- Most Important Questions,MOM&MISHKA,20240614,486,3922,2024
lRC3UxJF3ZM,International Yoga Day 2024,Kadamba International School(KIS) ,20240626,1398,1948,2024
ALhIfbtNLcg,"International Yoga Day 2024 || Theme - ""Yoga for Self and Society"" || Benefits of Yoga",SheelTalks,20240620,188,562,2024
OuwpMJdatAw,PES University - Celebrates 10th International Yoga Day - 2024,PESU LIVE,20240621,7379,1125,2024
ro67GOMTxbs,Dance Yoga By RYS Team For 10th International Yoga Day 2024,RESCULPT YOGA STUDIO,20240625,147,1956,2024
UHhXcXrHbFA,International Yoga Day 2024 Special | Yoga With Smita | Yoga for Kids,Smita Bansal #Smitasb,20240621,259,1396,2024
Wn8MJoHHzq0,International yoga day 2024 | 2nd video #yoga#internationalyogaday#celebration,Manita Khawas Healthy Life 🧘,20240622,1128,1171,2024
wq6Dz53epXI,International Yoga Day Drawing/Yoga Day Poster/World Yoga Day Drawing/International Yoga Day 2024,Art and Craft Sara,20240610,548,2044,2024
Us69_36cjg0,"PM Modi Yoga Day News | International Yoga Day 2024 Celebrations | Banks of Dal Lake, Srinagar",CNN-News18,20240621,595,609,2024
zqsQ3SLkbgU,International Yoga Day 2024 | UPSC | Daily Current News | Drishti IAS,Drishti IAS,20240621,184,22207,2024
30unmx881Ag,PM Modi Addresses Nation From Srinagar On International Yoga Day 2024 | India Today News,India Today,20240621,664,5868,2024
SFMN1XdD8_E,International Yoga Day Celebrations 2024 - Antyodaya Yoga- Yoga for self & society,"Antyodaya Yoga Studio | International Yoga Teacher Training School, Yoga Alliance, US |",20240621,182,623,2024
k1o-qz6eCik,Glimpse of International Yoga day 2024 @ Government ITI Hapur | अंतरराष्ट्रीय योग दिवस 2024,Gurukul E-School,20240621,175,1723,2024
uddfLWI0nRY,Yoga Dance | International Yoga Day | By Yoga Group Barwaha,Anushree Atre,20240620,417,597661,2024
pUDMxxoNe88,International Yoga Day - Gouthami Vidya Niketan High School 2024,Gouthami VidyaNiketan High School ,20240623,120,1445,2024
FNdSkS0tTCQ,International Yoga Day 2024: 'Yoga & Ayurveda'- Celebrating India's gift to mankind | WION Promo,WION,20240531,43,9277,2024
b89U8h63uSI,International Yoga Day 2024: Indian Navy personnel perform Yoga Asana onboard INS TEG,IndiaTV News English,20240621,162,611,2024
K00r2GsUhic,"""Yoga for All: Celebrating International Yoga Day with Youth Veerangnayen""",Youth Veerangnayen,20240625,245,34361,2024
OCyFGMOFKt8,Celebrating International Yoga Day 2024: Power Of Meditation And Mindfulness | India Today News,India Today,20240621,863,1778,2024
BaAPktRjn3Y,7- IDY LE NEG _ Sa Yehi,Idy Le Neg ,20250802,168,455490,2025
bnKWCuyZQy0,Yoga for Self and Society | IDY 2024 with YENRI,YENRI,20240621,3368,138,2024
CgmAmbaWiec,Yoga for self and society,Sailor Today,20240621,4812,128,2024
52rs7XGbJvc,🌿 Yoga for Self and Society,SPEFL-SC,20240624,4355,93,2024
-NghXPxXi-M,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240618,208,208,2024
7BJ-YJ6qcIo,🧘‍♀️ International Yoga Day 2025 | Yoga for Self and Society 🧘‍♂️,The actual me ,20251029,1954,341,2025
LcXwLEEJRzo,"International Yoga Day 2024 theme is""Yoga for Self and Society""#yogaforselfandsociety #idy@mdniyyoga",Yoga by Geet,20240621,241,120,2024
