video_id,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,has_transcript,word_count_x,status,filename,word_count_y,character_count
otGmdJKC1mE,Common Yoga Protocol l International Yoga Day by IndeaYoga l Asana & Pranayama Techniques,Bharatha Yoga ,20220615,1513.0,81604,phase2,,,,,True,5487.0,transcript_available,otGmdJKC1mE.en-orig.txt,5487,30206
hJbRpHZr_d0,Yoga For Anxiety and Stress,Yoga With Adriene,20151223,1674.0,13373093,phase2,,,,,True,9314.0,transcript_available,hJbRpHZr_d0.en-orig.txt,9314,48347
fvsC4x4VBpM,PM Modi leads Yoga Day event at Rajpath,NDTV,20150621,2048.0,143928,phase2,,,,,True,8314.0,transcript_available,fvsC4x4VBpM.en.txt,8314,46601
FQCb-9Df0uQ,International Yoga Day | PM Modi | India aims World Record | 21 June as Yoga Day | Rajpath,Mango News,20150621,165.0,735,phase2,,,,,True,1151.0,transcript_available,FQCb-9Df0uQ.txt,1151,6879
Vk6H0oT1n2U,Indian PM leads yoga exercise,The Telegraph,20150621,41.0,1635,phase2,,,,,True,119.0,transcript_available,Vk6H0oT1n2U.en.txt,119,719
RjDLpbR-mWM,Freedom From Pain Yoga Series,Grokker,20150424,74.0,3676,v1,Grokker,19.0,https://www.youtube.com/watch?v=RjDLpbR-mWM,"See the full series: http://bit.ly/1MddenH

Find Freedom from Pain in this pain management yoga series from Tanya Fitzpatrick. Tanya's 7 pain management videos will provide full body pain relief. Begin your practice today.",True,431.0,transcript_available,RjDLpbR-mWM.en-orig.txt,431,2588
uX6PURK-u3I,Yoga with HSS -2016(3),Poonam chimurkar,20161128,59.0,40,v1,Poonam chimurkar,,https://www.youtube.com/watch?v=uX6PURK-u3I,Yoga performances,True,261.0,transcript_available,uX6PURK-u3I.en-orig.txt,261,1291
Mrhgz1yeBSg,UNO Tashkent. In the Spotlight. International Yoga Day. Tashkent,UN Uzbekistan,20150713,104.0,194,v1,UN Uzbekistan,,https://www.youtube.com/watch?v=Mrhgz1yeBSg,"Did you know that the word “Yoga”  comes from Sanskrit meaning to join or to unite, symbolizing the union of body and consciousness? First time in history, enthusiasts of Yoga from all over the world came together to celebrate International Yoga Day, as declared by the UN General Assembly Tashkent was no exception. Jakhongir Azimov grabbed his yoga mat and went to join the first Yogathon in Uzbekistan’s biggest stadium “Bunyodkor”.",True,707.0,transcript_available,Mrhgz1yeBSg.txt,707,4313
uxTNtXRP7A4,"Celebration of the 1st International Day of Yoga at Thimphu, Bhutan","India in Bhutan (Embassy of India, Thimphu)",20150622,2940.0,199,v1,"India in Bhutan (Embassy of India, Thimphu)",2.0,https://www.youtube.com/watch?v=uxTNtXRP7A4,"Celebration of the 1st International Day of Yoga at Thimphu, Bhutan",True,11437.0,transcript_available,uxTNtXRP7A4.txt,11437,64653
OEBcG4-_SY4,India makes two world records on International Yoga Day,ABP NEWS,20150622,29.0,611,v1,ABP NEWS,2.0,https://www.youtube.com/watch?v=OEBcG4-_SY4,"India makes two world records on International Yoga Day

For latest breaking news, other top stories log on to:  http://www.abplive.in 🔴Watch ABP News Live 24/7 https://www.youtube.com/watch?v=nyd-xznCpJc",True,115.0,transcript_available,OEBcG4-_SY4.txt,115,552
azMcABrZNuo,Rashtriya Yoga Shikshak Sammelan - Inaugural Function (Part 2),Ministry of Education Government of India,20150622,1753.0,361,v1,Ministry of Education Government of India,1.0,https://www.youtube.com/watch?v=azMcABrZNuo,,True,7883.0,transcript_available,azMcABrZNuo.en-orig.txt,7883,43370
XaQqwIuvDnM,Grand Opening of LifePath Yoga & Wellness in Norwalk with Nina Antolino,healthreports,20151119,42.0,344,v1,healthreports,,https://www.youtube.com/watch?v=XaQqwIuvDnM,,True,340.0,transcript_available,XaQqwIuvDnM.en-orig.txt,340,1853
