video_id,in_phase2,in_v1,has_transcript,status,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,transcript_language,word_count,character_count,transcript_file,transcript_source
-1eIiYUBnNY,False,True,True,legacy_only_with_transcript,International Yoga Day to Be Celebrated Tuesday,Associated Press,20160620,59.0,430,v1,Associated Press,15.0,https://www.youtube.com/watch?v=-1eIiYUBnNY,"Subscribe for more Breaking News: http://smarturl.it/AssociatedPress

Thousands of New Delhi residents are gearing up for the second International Yoga Day to be celebrated on June 21. (June 20)

The Associated Press is the essential global news network, delivering fast, unbiased news from every corner of the world to all media platforms and formats.
AP’s commitment to independent, comprehensive journalism has deep roots. Founded in 1846, AP has covered all the major news events of the past 165 years, providing high-quality, informed reporting of everything from wars and elections to championship games and royal weddings. AP is the largest and most trusted source of independent news and information.
Today, AP employs the latest technology to collect and distribute content - we have daily uploads covering the latest and breaking news in the world of politics, sport and entertainment. Join us in a conversation about world events, the newsgathering process or whatever aspect of the news universe you find interesting or important. Subscribe: http://smarturl.it/AssociatedPress

http://www.ap.org/
https://plus.google.com/+AP/
https://www.facebook.com/APNews
https://twitter.com/AP",en-orig,447.0,2404.0,data/transcripts/-1eIiYUBnNY.en-orig.txt,legacy_archive
-1eIiYUBnNY,False,True,True,legacy_only_with_transcript,International Yoga Day to Be Celebrated Tuesday,Associated Press,20160620,59.0,430,v1,Associated Press,15.0,https://www.youtube.com/watch?v=-1eIiYUBnNY,"Subscribe for more Breaking News: http://smarturl.it/AssociatedPress

Thousands of New Delhi residents are gearing up for the second International Yoga Day to be celebrated on June 21. (June 20)

The Associated Press is the essential global news network, delivering fast, unbiased news from every corner of the world to all media platforms and formats.
AP’s commitment to independent, comprehensive journalism has deep roots. Founded in 1846, AP has covered all the major news events of the past 165 years, providing high-quality, informed reporting of everything from wars and elections to championship games and royal weddings. AP is the largest and most trusted source of independent news and information.
Today, AP employs the latest technology to collect and distribute content - we have daily uploads covering the latest and breaking news in the world of politics, sport and entertainment. Join us in a conversation about world events, the newsgathering process or whatever aspect of the news universe you find interesting or important. Subscribe: http://smarturl.it/AssociatedPress

http://www.ap.org/
https://plus.google.com/+AP/
https://www.facebook.com/APNews
https://twitter.com/AP",en,447.0,2404.0,data/transcripts/-1eIiYUBnNY.en.txt,legacy_archive
-4zfwCjtwQo,True,False,False,phase2_missing_transcript,IDY 2025, NIA Panchkula,20250602,10.0,29,phase2,,,,,,,,,none
-8kiR-YOgsY,True,False,False,phase2_missing_transcript,IDY 2025 protocol(ENG HU),Yogahitha Foundation,20250618,3051.0,87,phase2,,,,,,,,,none
-BJSDdD4mTw,False,True,False,legacy_only,Only 6️⃣ Days to go  for #IDY2023,Ministry of Ayush,20230615,10.0,152,v1,Ministry of Ayush,6.0,https://www.youtube.com/watch?v=-BJSDdD4mTw,"Only 6️⃣ Days to go for the big celebration of #IDY2023

""Yoga is, quite simply, the science of being in perfect alignment, in absolute harmony, in complete sync with the existence.” ― Sadhguru


With only a few days remaining, let us make Yoga a way of life. Come celebrate the 9th annual #InternationalDayofYoga2023 with us!

To learn more, stay tuned with us.

#InternationalDayofYoga2023
#IDY2023
#IDYArctictoAntarctica
#YogaforVasudhaivaKutumbakam
#HarAnganYoga
#YogaBharatMala
#YogaOceanRing
#YogaMyPride",,,,,none
-Bvnlu8VQu4,False,True,False,legacy_only,"YOGA IN THE LAPS OF ALPS- Embassy of India, Berne",Embassy of India Switzerland,20180619,11.0,190,v1,Embassy of India Switzerland,1.0,https://www.youtube.com/watch?v=-Bvnlu8VQu4,"Images from International Day of Yoga celebrations in the laps of Alps in the Principality of Liechtenstein. Yoga connects mighty Himalayas with picturesque Alps.

Date: June 17, 2018

by Embassy of India, Berne, Switzerland. Concurrently accredited to The Holy See and The Principality of Liechtenstein.",,,,,none
-DrjPSadlrw,True,False,False,phase2_missing_transcript,"International Yoga Day 2024 Video in Hindi || ""Yoga for Self and Society"" || Benefits of Yoga",SheelTalks,20240621,227.0,65,phase2,,,,,,,,,none
-FeH77DSJTk,False,True,False,legacy_only,Modal Ponte Roma Knit Fabric,Minerva,20190126,83.0,105,v1,Minerva,,https://www.youtube.com/watch?v=-FeH77DSJTk,Modal Ponte Roma Knit Fabric. C7985-Navy,,,,,none
-GLlPK6NuhA,False,True,False,legacy_only,Gymnastic yoga seeranga,yoga seeranga,20180729,11.0,565,v1,yoga seeranga,59.0,https://www.youtube.com/watch?v=-GLlPK6NuhA,Yoga seeraga performance,,,,,none
-L75Y1gO1a8,False,True,False,legacy_only,"Celebration of Love, Peace and Light - Naam Yoga Superclass 2015",Dr. Levry,20150401,102.0,12436,v1,Dr. Levry,105.0,https://www.youtube.com/watch?v=-L75Y1gO1a8,Visit http://www.lovepeacelighttoall.com for all the details. If you can't be there in person be sure to sign up for the Livestream!,,,,,none
