video_id,title,channel,upload_date,query
epQ8hqrqMrg,IGMS ONE WEEK INTERNATIONAL  YOGA PROGRAMM 2026,INDHIRA GANDHI SCHOOL,,International Day of Yoga 2026
uS0tBLPVq6M,Grandma’s Crochet Revival 2026 | DIY Shabby Chic Decor Ideas You’ll Love,Decorancy,,IDY 2026
GyQy3n4g-00,SPREADING THE LIGHT OF YOGA TO THE WORLD | INTERNATIONAL DAY OF YOGA 2024 | TWSI,The White School International,,International Day of Yoga 2024
kl0BhK5nNvg,Chateau DIY (2026) Season 11 Episode 39,Jessie Miller,,IDY 2026
fsWitGfWyHI,Free Chair Yoga Class in Callao region | IDY 2026,India in Peru,,International Day of Yoga 2026
-WmXnO98QYs,"📡 LIVE:- Yoga Mahotsav – 75 Days to #IDY2026 at Lonar, Buldhana, Maharashtra.",Ministry of Ayush,,International Day of Yoga 2026
xteGOc87tV8,"TCEI Celebrates International Yoga Day 2025 | 'One Earth, One Health' | Hitex",Hybiz Now,,Yoga for One Earth One Health
SFMN1XdD8_E,International Yoga Day Celebrations 2024 - Antyodaya Yoga- Yoga for self & society,"Antyodaya Yoga Studio | International Yoga Teacher Training School, Yoga Alliance, US |",,International Day of Yoga 2024
mZsX9tw8FoI,Yoga for All | Focus on Twist -  21 Days IDY 2026 Challenge,Yoga 4 Unity,,International Day of Yoga 2026
eJ86TdGHuEA,Yoga Day 2025 LIVE: Indian PM Narendra Modi Takes Part in International Yoga Day 2025 Celebrations,Firstpost,,International Day of Yoga 2025
o9Op6dPMVZY,ALL INDIA YOGASANA TOURNAMENT 2024-25 Bhuvaneshwar.,Dr.Namdev Phatangare,,International Day of Yoga 2024
WAD8Wao5gQw,Day 2/100 Yoga Days With Satvik Yogi | 2026 IDY,Satvik Yogi,,International Day of Yoga 2026
N7hRNbD_V1I,"Happy International Day of Yoga! June 21, 2025  “Yoga for Self and Society”","India in Liberia (Embassy of India, Monrovia)",,Yoga for Self and Society
GL7r_NfckrM,"Yoga Is Free From Copyright, Patents, It’s Unifying: PM Modi At UN HQ During Yoga Day Celebration",India Today,,Indian Diplomacy International Day of Yoga
Fwnbqyr6nvM,Yoga Sangam IDY 2025 Test,Priyanka's Yoga Studio,,IDY 2025
AU1BmigLGBI,【2024年5月から7月までのDIYまとめ】ゼロからの庭作り｜まとめ動画｜はじめてのDIY,N-GARDEN,,IDY 2024
VHfLAhYO8KE,How to make a DIY Avocado Squishy❤ easy tutorial l ASMR l No music,Pogeun paper,,IDY 2024
Zi6BXd5OjrI,LIVE YOGA SESSION BY DR.TEJASWINI MANOGNA || INTERNATIONAL YOGA DAY 2025,Tejaswini Manogna,,International Day of Yoga 2025
gIRlGEh73_o,Evening Classes for Introduction Programme: Day 3,Ministry of Ayush,,Ministry of Ayush International Day of Yoga
nt9zUsS5QOE,Nostalgia Video: DIY  Peanut Butter MOM Makeover ! Craft Video,CookieSwirlC,,IDY 2026
vSAjQ2TJylE,Foreign diplomats in Delhi roll out mats for workouts to mark International Yoga Day,Indiafile,,Indian Diplomacy International Day of Yoga
rvqx3ykMPUw,Celebrating International Yoga Day 2025 | Yoga with Nivedita – Breathe | Align | Elevate,Nivedita Pradhan,,International Day of Yoga 2025
r7xdgnDNlDM,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,,Yoga for Self and Society
sMBMcZ9qC1c,PM Modi Leads International Yoga Day Celebrations In Mysuru; 'Yoga Is A Way Of Life',Republic World,,Narendra Modi International Day of Yoga
qGQ-TvsT9pk,PM Modi's Leadership in Promoting Yoga: International Day of Yoga and AYUSH Initiatives | IDY 2024,DD India,,International Day of Yoga 2024
p1LbPWuaFJA,"Yoga Has Connected The World With India, Says PM Modi",NDTV,,Narendra Modi International Day of Yoga
UInzQ1ZCR0E, International Yoga Day 2026 | English Jingle Contest @ministryofayushofficial@MyGovIndia #OPRK,OPRK Entertainment,,International Day of Yoga 2026
NyvUjHDa0JY,"International Yoga Festival 2026📍 Parmarth Niketan, Rishikesh | Day 4: Yoga, Music, Ganga Aarti",Parmarth Niketan,,International Day of Yoga 2026
puFOuS2sk9w,PM Modi Lists Benefits Of Yoga Amid COVID On International Yoga Day | Full Speech,Republic World,,Narendra Modi International Day of Yoga
s7Mw13LujzE,PM MODI Reveals Surprising Details About International Yoga Day |  Yoga Day | International Yoga Day,Qvive ,,PMO India International Day of Yoga
2uwuH3SWvL0,Complete DIY Project Components at Half Price Online ✅ - 2026 Full Price Details,Ghost Inventor,,IDY 2026
HH6Dy5uoTCg,"YOGA for SELF And society.. purified Thoughts, Strongly Bound Society",VIRENDRA DR,,Yoga for Self and Society
a4EQayTUrAE,Dr Raghavendra Rao | Directorate of AYUSH| INTERNATIONAL YOGA DAY,"Directorate of AYUSH, Govt. of Delhi",,Ministry of Ayush International Day of Yoga
Plv2DgxET4o,How to make a 2022 desk calendar / diy calendar /paper Mini calendar /paper crafts for school / DIY,Tushu art & craft,,IDY 2026
ha8MlYhTXyg,International day of Yoga - IDY 2025,Indian Navy,,International Day of Yoga 2025
dqBIj2O3Pdk,Glimpse into the Yoga Mahotsav  100-day countdown to International Day of Yoga (IDY) 2026.,Ministry of Ayush,,International Day of Yoga 2026
ILYKKso4dfE,IDY celebrating the spirit of inclusivity!,Ministry of Ayush,,Ministry of Ayush International Day of Yoga
0XoCpPXlV4w,Yoga Day 2025 | United Nations,United Nations,,International Day of Yoga 2024
lnnW0UvLkjw,IDY 2025 Common Yoga Protocol,Kankidham Arogya Kendra,,IDY 2025
OWcoPzas0Tc,Indian Embassy Celebrates International Yoga Day In Rome,NDTV,,Indian Diplomacy International Day of Yoga
30QDbjhzBaI,👉Yoga training session before IDY-2025👈,Yoga Instructor Karan,,IDY 2025
9muSWzt1cGQ,International Yoga Day | PM Modi To Lead Yoga Day Event In NYC | Times Square Yoga | English News,CNN-News18,,Indian Diplomacy International Day of Yoga
h37EaBaqG6s,"Be With Yoga,Be At Home Video Contest 2021 Ministry of AYUSH(Govt of India) #BeWithYogaBeAtHome #IDY",Purabi Devi Dasi,,Ministry of Ayush International Day of Yoga
2kKVITRbaD4,IDY 2025 | Yoga Alliance | Yoga TTC,SAURABHYA,,IDY 2025
FED5F1MyKE0,🧘‍♀️Promo International Day of Yoga 2026 | SRMIST Kattankulathur 🧘‍♂️| DoS,DIRECTOR SPORTS SRMIST,,International Day of Yoga 2026
lAzBdzQKjVw,"Yoga Day 2025 | Yoga for One Earth, One Health 🌍 | Morning Yoga Routine for a Healthy Life",Yog Yogi Yoga,,Yoga for One Earth One Health
boY0d9-ECrI,PM’s video message during International Day of Yoga 2023 with English Subtitles,PMO India,,PMO India International Day of Yoga
Uk2MNaV2cW8,IDY 2025 MRTV Media Coverage Myanmar : Ankita Sood,Dr. Ankita Sood Yoga,,IDY 2025
uRpviCZsgGk,International Yoga Day Celebration | 2025-26,DAFFODILS HIGH PUBLIC SCHOOL,,International Day of Yoga 2025
VXxv1V4_7qg,"Happy International Yoga Day 25 'Yoga for One Earth, One Health'Let's celebrate ancient India's gift",Capers Corporate Wellness,,Yoga for One Earth One Health
xsf1eHv_vSE,"International Yoga Day 2025 | Yoga for One Earth, One Health 🌍",Beginners Yoga,,Yoga for One Earth One Health
KgTyB6UNeUM,Modi's yoga diplomacy,TRT World,,Indian Diplomacy International Day of Yoga
tlQFariES-I,PM Modi's address on 7th International Day of Yoga,Narendra Modi,,PMO India International Day of Yoga
O3UzA-ItA0k,Essay on Yoga for self and society|Speech on yoga for self and society|International yoga Day Essay,kids fun Magic world,,Yoga for Self and Society
8iKfm8rcLL8,Celebration of International yoga day .. YOGA FOR ONE EARTH ONE HEALTH BREATH BEND BALANCE,lionshps muddebihal,,Yoga for One Earth One Health
ALhIfbtNLcg,"International Yoga Day 2024 || Theme - ""Yoga for Self and Society"" || Benefits of Yoga",SheelTalks,,International Day of Yoga 2024
KyMWQmiKzyk,IDY 2025 Yoga Practical Session,DrNavasakthi,,IDY 2025
FKOpBDx-IMk,International Day Of Yoga 2025,BSF_India,,International Day of Yoga 2025
NHPENqo4x4M,"योग महोत्सव-2026 | #IDY2026 | दिनांक - 16 अप्रैल, 2026",Jain Vishva Bharati Institute Ladnun,,IDY 2026
deco9KHty04,Ministry of AYUSH to organise International Conference on Yoga,New Delhi Times,,Ministry of Ayush International Day of Yoga
8DeiE-23e38,Haridwar 31 May - IDY 2026 Live Yoga - Uttarakhand Ayurvedic & Unani Services,Directorate Ayurved Uttarakhand,,IDY 2026
4g0kkebBowM,YOGA FOR SELF AND SOCIETY,Snigdha's podium ,,Yoga for Self and Society
Iwp5CgFCuco,Yoga Performance | Ayush Peru,India in Peru,,Ministry of Ayush International Day of Yoga
e81UHZM44vU,From Yoga Day to State Dinner: A detailed look into PM Narendra Modi’s US visit itinerary,Times Of India,,Indian Diplomacy International Day of Yoga
C4rZ8SA8YuQ,CANDY LEI $4 DOLLAR TREE DIY | EASY GRADUATION CANDY LEI INSTRUCTIONS🌟,Auntie Coo Coo,,IDY 2026
zTnVMm6YVXs,"""Yoga for Self and Society"" ---Yoga Day 2024@strs",acts_of_santomites,,Yoga for Self and Society
IGPbozHK7sg,"#DIY vow to take the WWE Tag Team Titles from The Bloodline: SmackDown exclusive, Sept. 13, 2024",WWE,,IDY 2024
n1F9VmD1gmg,Floor yoga for MS | MS Society,MS Society UK,,Yoga for Self and Society
KsXEGvWp52Y,Fathers Day Card Easy | DIY Father's Day Gift Ideas 2026 | White Paper Father's Day Card,Aashus Art,,IDY 2026
ckQIyUR-YYQ,"International Yoga Day | Yoga Has Become A Ray Of Hope When World Fights Covid-19, Says PM Modi",India Today,,Narendra Modi International Day of Yoga
g8MvYG7afaE,YOGA DAY SONG For Ministry Of Ayush,Kailasa Records ,,Ministry of Ayush International Day of Yoga
Jp5n2uTR6oA,“Finding Balance and Calmness through Yoga-Meditation” | 2024 International Yoga Day | English,Yogoda Satsanga Society of India,,International Day of Yoga 2024
iMzIhaybONE,"Civil Aviation Ministry, AAI organise 9th International Yoga Day",ANI News,,Indian Diplomacy International Day of Yoga
ISu5u2-Q_Es,Essay/Speech on International Yoga Day 2024 Theme:Yoga for Self and Society Essay/Speech Yoga Day,Privi Creation,,Yoga for Self and Society
vhJC5aCBf-Q,ISC Qatar | Rhythmic Yoga Display during Int'l Day of Yoga 2025,Indian Sports Centre,,International Day of Yoga 2025
Y2WK3DEIVo4,DIYショウ2024で話題になった最新工具！【Vol.548】,ファクトリーギア 高野倉 匡人 (MASATO TAKANOKURA / FACTORY GEAR),,IDY 2024
zgUnmoFOTts,6th International Day of Yoga | PM Modi's appeal to people !,BETON BRUT,,PMO India International Day of Yoga
C4E7XhmgbzU,AMAZING VACATION HACKS AND DIY TRAVEL TIPS || Cool Hacks For The Best Vacation by 123 GO! SERIES,123 GO! Series,,IDY 2024
7VDyCao6N8I,10 Inspiring Furniture Flips for 2024 | DIY Furniture Makeovers,Christina Muscari,,IDY 2024
