video_id,title,channel,upload_date,duration,view_count
epQ8hqrqMrg,IGMS ONE WEEK INTERNATIONAL  YOGA PROGRAMM 2026,INDHIRA GANDHI SCHOOL,20260228,181,84
uS0tBLPVq6M,Grandma’s Crochet Revival 2026 | DIY Shabby Chic Decor Ideas You’ll Love,Decorancy,20260126,1032,475
GyQy3n4g-00,SPREADING THE LIGHT OF YOGA TO THE WORLD | INTERNATIONAL DAY OF YOGA 2024 | TWSI,The White School International,20240621,70,3079
kl0BhK5nNvg,Chateau DIY (2026) Season 11 Episode 39,Jessie Miller,20260529,2753,927
fsWitGfWyHI,Free Chair Yoga Class in Callao region | IDY 2026,India in Peru,20260428,102,8
-WmXnO98QYs,"📡 LIVE:- Yoga Mahotsav – 75 Days to #IDY2026 at Lonar, Buldhana, Maharashtra.",Ministry of Ayush,20260407,2948,2104
xteGOc87tV8,"TCEI Celebrates International Yoga Day 2025 | 'One Earth, One Health' | Hitex",Hybiz Now,20250621,194,35
SFMN1XdD8_E,International Yoga Day Celebrations 2024 - Antyodaya Yoga- Yoga for self & society,"Antyodaya Yoga Studio | International Yoga Teacher Training School, Yoga Alliance, US |",20240621,182,623
eJ86TdGHuEA,Yoga Day 2025 LIVE: Indian PM Narendra Modi Takes Part in International Yoga Day 2025 Celebrations,Firstpost,20250621,4430,2582
o9Op6dPMVZY,ALL INDIA YOGASANA TOURNAMENT 2024-25 Bhuvaneshwar.,Dr.Namdev Phatangare,20241226,845,531897
WAD8Wao5gQw,Day 2/100 Yoga Days With Satvik Yogi | 2026 IDY,Satvik Yogi,20260316,939,83
GL7r_NfckrM,"Yoga Is Free From Copyright, Patents, It’s Unifying: PM Modi At UN HQ During Yoga Day Celebration",India Today,20230621,345,377
Fwnbqyr6nvM,Yoga Sangam IDY 2025 Test,Priyanka's Yoga Studio,20250620,195,10
AU1BmigLGBI,【2024年5月から7月までのDIYまとめ】ゼロからの庭作り｜まとめ動画｜はじめてのDIY,N-GARDEN,20251023,711,8302
VHfLAhYO8KE,How to make a DIY Avocado Squishy❤ easy tutorial l ASMR l No music,Pogeun paper,20240906,796,1501924
Zi6BXd5OjrI,LIVE YOGA SESSION BY DR.TEJASWINI MANOGNA || INTERNATIONAL YOGA DAY 2025,Tejaswini Manogna,20250621,4050,37866
gIRlGEh73_o,Evening Classes for Introduction Programme: Day 3,Ministry of Ayush,20210528,4665,668
nt9zUsS5QOE,Nostalgia Video: DIY  Peanut Butter MOM Makeover ! Craft Video,CookieSwirlC,20190911,665,13844007
vSAjQ2TJylE,Foreign diplomats in Delhi roll out mats for workouts to mark International Yoga Day,Indiafile,20160621,243,305
rvqx3ykMPUw,Celebrating International Yoga Day 2025 | Yoga with Nivedita – Breathe | Align | Elevate,Nivedita Pradhan,20260510,309,70
r7xdgnDNlDM,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240617,182,269
sMBMcZ9qC1c,PM Modi Leads International Yoga Day Celebrations In Mysuru; 'Yoga Is A Way Of Life',Republic World,20220621,932,4492
qGQ-TvsT9pk,PM Modi's Leadership in Promoting Yoga: International Day of Yoga and AYUSH Initiatives | IDY 2024,DD India,20240620,152,4780
p1LbPWuaFJA,"Yoga Has Connected The World With India, Says PM Modi",NDTV,20170621,229,568
UInzQ1ZCR0E,International Yoga Day 2026 | English Jingle Contest @ministryofayushofficial@MyGovIndia #OPRK,OPRK Entertainment,20260401,30,327
NyvUjHDa0JY,"International Yoga Festival 2026📍 Parmarth Niketan, Rishikesh | Day 4: Yoga, Music, Ganga Aarti",Parmarth Niketan,20260313,146,888
puFOuS2sk9w,PM Modi Lists Benefits Of Yoga Amid COVID On International Yoga Day | Full Speech,Republic World,20200621,849,13521
s7Mw13LujzE,PM MODI Reveals Surprising Details About International Yoga Day |  Yoga Day | International Yoga Day,Qvive ,20240620,60,97
2uwuH3SWvL0,आधे Price में Complete DIY Project Making का सामान Online ✅ - 2026 Full Price in Hindi,Ghost Inventor,20260601,249,665
HH6Dy5uoTCg,"YOGA for SELF And society.. purified Thoughts, Strongly Bound Society",VIRENDRA DR,20240621,75,6
Plv2DgxET4o,How to make a 2022 desk calendar / diy calendar /paper Mini calendar /paper crafts for school / DIY,Tushu art & craft,20211116,440,1485886
ha8MlYhTXyg,International day of Yoga - IDY 2025,Indian Navy,20250621,69,4708
dqBIj2O3Pdk,Glimpse into the Yoga Mahotsav  100-day countdown to International Day of Yoga (IDY) 2026.,Ministry of Ayush,20260316,71,158
ILYKKso4dfE,IDY celebrating the spirit of inclusivity!,Ministry of Ayush,20220714,90,303
0XoCpPXlV4w,Yoga Day 2025 | United Nations,United Nations,20250620,5020,8938
lnnW0UvLkjw,IDY 2025 Common Yoga Protocol,Kankidham Arogya Kendra,20250701,53,48
OWcoPzas0Tc,Indian Embassy Celebrates International Yoga Day In Rome,NDTV,20210621,86,13399
30QDbjhzBaI,👉Yoga training session before IDY-2025👈,Yoga Instructor Karan,20250526,18,49
9muSWzt1cGQ,International Yoga Day | PM Modi To Lead Yoga Day Event In NYC | Times Square Yoga | English News,CNN-News18,20230620,484,795
2kKVITRbaD4,IDY 2025 | Yoga Alliance | Yoga TTC,SAURABHYA,20250815,232,73
lAzBdzQKjVw,"Yoga Day 2025 | Yoga for One Earth, One Health 🌍 | Morning Yoga Routine for a Healthy Life",Yog Yogi Yoga,20250620,90,50
boY0d9-ECrI,PM’s video message during International Day of Yoga 2023 with English Subtitles,PMO India,20230724,698,862
Uk2MNaV2cW8,IDY 2025 MRTV Media Coverage Myanmar : Ankita Sood,Dr. Ankita Sood Yoga,20250608,179,81
VXxv1V4_7qg,"Happy International Yoga Day 25 'Yoga for One Earth, One Health'Let's celebrate ancient India's gift",Capers Corporate Wellness,20250623,42,13
xsf1eHv_vSE,"International Yoga Day 2025 | Yoga for One Earth, One Health 🌍",Beginners Yoga,20250621,5054,954
KgTyB6UNeUM,Modi's yoga diplomacy,TRT World,20180620,145,18686
tlQFariES-I,PM Modi's address on 7th International Day of Yoga,Narendra Modi,20210621,1289,125726
O3UzA-ItA0k,Essay on Yoga for self and society|Speech on yoga for self and society|International yoga Day Essay,kids fun Magic world,20240620,354,165
ALhIfbtNLcg,"International Yoga Day 2024 || Theme - ""Yoga for Self and Society"" || Benefits of Yoga",SheelTalks,20240620,188,562
KyMWQmiKzyk,IDY 2025 Yoga Practical Session,DrNavasakthi,20250623,1682,29
FKOpBDx-IMk,International Day Of Yoga 2025,BSF_India,20250621,5445,1705
NHPENqo4x4M,"योग महोत्सव-2026 | #IDY2026 | दिनांक - 16 अप्रैल, 2026",Jain Vishva Bharati Institute Ladnun,20260416,5129,579
deco9KHty04,Ministry of AYUSH to organise International Conference on Yoga,New Delhi Times,20191115,106,255
8DeiE-23e38,Haridwar 31 May - IDY 2026 Live Yoga - Uttarakhand Ayurvedic & Unani Services,Directorate Ayurved Uttarakhand,20260531,2913,498
4g0kkebBowM,YOGA FOR SELF AND SOCIETY,Snigdha's podium ,20240620,367,274
Iwp5CgFCuco,Yoga Performance | Ayush Peru,India in Peru,20260515,322,24
e81UHZM44vU,From Yoga Day to State Dinner: A detailed look into PM Narendra Modi’s US visit itinerary,Times Of India,20230615,231,4630
C4rZ8SA8YuQ,CANDY LEI $4 DOLLAR TREE DIY | EASY GRADUATION CANDY LEI INSTRUCTIONS🌟,Auntie Coo Coo,20200616,499,303382
IGPbozHK7sg,"#DIY vow to take the WWE Tag Team Titles from The Bloodline: SmackDown exclusive, Sept. 13, 2024",WWE,20240914,117,88304
n1F9VmD1gmg,Floor yoga for MS | MS Society,MS Society UK,20190923,877,71652
KsXEGvWp52Y,Fathers Day Card Easy | DIY Father's Day Gift Ideas 2026 | White Paper Father's Day Card,Aashus Art,20260516,126,129
ckQIyUR-YYQ,"International Yoga Day | Yoga Has Become A Ray Of Hope When World Fights Covid-19, Says PM Modi",India Today,20210621,976,10637
g8MvYG7afaE,YOGA DAY SONG For Ministry Of Ayush,Kailasa Records ,20210921,275,24541
Jp5n2uTR6oA,“Finding Balance and Calmness through Yoga-Meditation” | 2024 International Yoga Day | English,Yogoda Satsanga Society of India,20240616,3449,8801
iMzIhaybONE,"Civil Aviation Ministry, AAI organise 9th International Yoga Day",ANI News,20230621,277,1007
ISu5u2-Q_Es,Essay/Speech on International Yoga Day 2024 Theme:Yoga for Self and Society Essay/Speech Yoga Day,Privi Creation,20240621,191,32
vhJC5aCBf-Q,ISC Qatar | Rhythmic Yoga Display during Int'l Day of Yoga 2025,Indian Sports Centre,20250624,355,56103
Y2WK3DEIVo4,DIYショウ2024で話題になった最新工具！【Vol.548】,ファクトリーギア 高野倉 匡人 (MASATO TAKANOKURA / FACTORY GEAR),20240829,2777,64739
zgUnmoFOTts,6th International Day of Yoga | PM Modi's appeal to people !,BETON BRUT,20200618,290,8
C4E7XhmgbzU,AMAZING VACATION HACKS AND DIY TRAVEL TIPS || Cool Hacks For The Best Vacation by 123 GO! SERIES,123 GO! Series,20220106,1801,64170660
7VDyCao6N8I,10 Inspiring Furniture Flips for 2024 | DIY Furniture Makeovers,Christina Muscari,20240120,1644,199015
h7cDzRJTBqE,"International Yoga Day 2025: मोदी का योग मंत्र, अचूक अभेद्य सेहत का फ्रंट | Top News | Speech",Bharat 24 - Vision Of New India ,20250621,324,332
OUvg2rnnn-M,"For International Yoga Day, Bollywood A-listers as ambassadors and PM Modi the show stopper",NDTV,20150603,132,1610
ME87dbGdD8E,2024年まとめ！倹約DIYコスパ良好グッズをご紹介します！,倹約DIY,20250117,980,61789
I9eEQY1TpTY,etrailer | Roadmaster Rear Anti-Sway Bar DIY Installation - 2024 Ram 3500,etrailer,20260531,1458,35
hl3lWfLfDwA,Ayush Ministry Seeks ISRO's Assistance | for Satellite Imagery | on International Day of Yoga,ETV Telangana,20180606,38,56
K00r2GsUhic,"""Yoga for All: Celebrating International Yoga Day with Youth Veerangnayen""",Youth Veerangnayen,20240625,245,34361
QuGLcWPyvRQ,International Yoga Day 2026 | Yoga for Healthy Ageing | Can Yoga Slow Aging?,Fact Navigate,20260530,600,59
woDftJ5-_hk,PM Modi Leads International Yoga Day Celebrations; Experts Discuss Issue | Latest News,Times Now,20230621,564,417
bMY2KUyz330,Importance of Yoga by Sadhguru | International Day of Yoga 2024,Ministry of Ayush,20240619,74,1543
Iyx7desT8h8,🔴 LIVE | Yoga Mahotsav 2026 — 25 Days to International Day of Yoga 2026,Morarji Desai National Institute of Yoga (MDNIY),20260527,8100,9097
AbPooEFUSlw,How to make bead hand Bag || DIY 2026,Snaday Khmer Art,20260602,1071,67
4jPN7u2Bits,Easy Happy Birthday Card 🎂 | How to make Birthday Card for Friend | Best DIY Birthday Card | 2026,Brighty Art and Craft,20260601,281,655
3PKwdy_7Ttg,"The ""Yoga for All"" campaign, dedicated to the upcoming International Yoga Day in 2026",IYO® International Yoga Organisation,20260508,36,33
YLY5hrkQgWY,"International Yoga Festival 2026📍 Parmarth Niketan, Rishikesh | Day 2: Yoga, Music, Ganga Aarti",Parmarth Niketan,20260311,162,848
VsGPjzPndHc,"International Yoga Day: ""Yoga Brings People Together"", Says PM Modi",NDTV,20200621,148,1469
j_k06bihD-0,I Tested Dumb Viral DIY TIkToks,John Malecki,20240303,1729,2929995
zstIiKYdu14,"#DIY take down “Dirty” Dominik Mysterio & JD McDonagh: Raw highlights, Jan. 15, 2024",WWE,20240116,191,275203
AY8cNUWAEpg,International Yoga Day 2023,Rvim Youtube Channel official,20230622,140,116
bnKWCuyZQy0,Yoga for Self and Society | IDY 2024 with YENRI,YENRI,20240621,3368,138
nvvUpRFYpZk,"INTERNATIONAL YOGA 🧘 DAY 2025 |Yoga for One Earth, One Health Simple, Yoga flow for Beginners",VEDA'S YOGA,20250621,80,88
