video_id,title,channel,upload_date,duration,view_count,year,priority
Ctix1E-BF0s,#Yogandhra2025 #InternationalYogaDay2025 - Yoga For One Earth One Health,AP Digital Corporation,20250528,75,1578405,2025,1.0
uddfLWI0nRY,Yoga Dance | International Yoga Day | By Yoga Group Barwaha,Anushree Atre,20240620,417,597661,2024,1.0
CaQwpE-D-uQ,योग गीत - International Yoga Day Special 2025| विश्व में शांति रहेगी योग से #yogamusicforexercise,Hari Singer Patanjali,20250618,320,534231,2025,1.0
o9Op6dPMVZY,ALL INDIA YOGASANA TOURNAMENT 2024-25 Bhuvaneshwar.,Dr.Namdev Phatangare,20241226,845,531905,2024,1.0
BaAPktRjn3Y,7- IDY LE NEG _ Sa Yehi,Idy Le Neg ,20250802,168,455490,2025,1.0
6AK0fkhCjO4,"LIVE: PM Modi takes part in 11th International Day of Yoga celebrations in Visakhapatnam, AP",Narendra Modi,20250621,5397,372323,2025,1.0
kvd5fCy-ITE,PM Modi takes part in International Day of Yoga celebrations at UN HQ in New York City,Narendra Modi,20230621,4192,295038,2023,1.0
81J_pa88Mi4,International Day of Yoga with Sadhguru at UNESCO - Crafting a Conscious Planet,Sadhguru,20230621,7530,224948,2023,1.0
3-4dvMSYSis,LIVE: PM Modi Yoga at UN Headquarters | International Yoga Day 2023 Live | Modi US State Visit,ANI News,20230621,3895,192152,2023,1.0
LlsAx-TaQw4,PM Modi's remarks at International Day of Yoga at UN headquarters,Narendra Modi,20230621,540,166564,2023,1.0
20Fn-9Yrf6Y,International Yoga Day 2025 | Significance & Theme | UPSC Current Affairs | Drishti IAS,Drishti IAS,20250621,344,72330,2025,1.0
PwlftiCiWmE,International Day of Yoga 2024,WHO Country Office for India,20240620,169,70380,2024,1.0
t-mknfY6GIY,International Yoga Day/Yoga series Ep1️⃣/ Do Yoga with Us,Youth Veerangnayen,20230621,718,68869,2023,1.0
U8tPNIJgIdk,International Day of Yoga 2025 with Gurudev from Colombia | Live Meditation,Gurudev Sri Sri Ravi Shankar,20250621,2023,56988,2025,1.0
vhJC5aCBf-Q,ISC Qatar | Rhythmic Yoga Display during Int'l Day of Yoga 2025,Indian Sports Centre,20250624,355,56122,2025,1.0
