video_id,captions_available,languages,auto_generated
V4bK7BdAm-o,True,"en,en",True
Av5ib_XRKT4,True,en,True
U7uJI2m-W1Q,True,en,True
6knnQMr_FPg,True,en,True
kvd5fCy-ITE,True,en,True
6wCIFVLibfc,True,hi,True
oYLY4KyNukI,True,en,True
w4CE-SMokQI,True,hi,True
bMY2KUyz330,True,en,True
XoKsd-IwLpQ,True,en,True
7e85JPQaWCw,True,en,True
ISft6hv2hZE,True,hi,True
DQG9Bcq3Sgs,True,en,True
vpVp1XsRpco,True,en,True
PNLcohhQTHo,True,en,True
T3LV5yAJpqY,True,en,True
LmgN-lRJ3TA,True,en,True
yZ9hNDlqwjU,True,en,True
vRA895CMn1o,True,en,True
wXO2eKyoSPA,True,en,True
D5zJ5YIxOKA,True,hi,True
HxEEwQDE2lI,True,hi,True
zkK_I-VW6wo,True,hi,True
Jp5n2uTR6oA,True,en,True
lKQ3WGLDBjQ,True,hi,True
PfkCT5wiyE8,True,en,True
tjT9Sq7MOz0,True,en,True
lO7RbqPwyz4,True,hi,True
4cMhh-ZPxkU,True,ta,True
fbpwpTzF-oY,True,en,True
Q-x-DX47QJo,True,en,True
HSYN-yVTbqI,True,hi,True
0XoCpPXlV4w,True,en,True
N4cNi6c6qVw,True,hi,True
UVoznB0DW5k,True,en,True
qwRCjUBN3Ns,True,en,True
rAJU5AsaTcc,True,en,True
6AK0fkhCjO4,True,hi,True
qGQ-TvsT9pk,True,en,True
9pXNA3VXUF8,True,hi,True
AkLEk8bb7RI,True,en,True
GyQy3n4g-00,True,hi,True
eUfaQnDrZxQ,True,ja,True
gmbXXidEAS8,True,en,True
iQel86HoW9M,True,en,True
nKiZsVg8doE,True,en,True
2PWKPU4mp1Q,True,en,True
CV4QoG5Emxs,True,en,True
QVr_291uyG8,True,en,True
9R5j7aIbpq0,True,hi,True
4ToNpt4dAMc,True,kn,True
6qYYbjmn6LM,True,hi,True
OcKTF01z-JM,True,es,True
lRC3UxJF3ZM,True,hi,True
ALhIfbtNLcg,True,en,True
bJgAp7SRgMk,True,en,True
yO0OUE_6WLM,True,hi,True
UHhXcXrHbFA,True,mr,True
Us69_36cjg0,True,hi,True
cJEAK5Qks9U,True,en,True
zqsQ3SLkbgU,True,hi,True
30unmx881Ag,True,hi,True
SFMN1XdD8_E,True,hi,True
k1o-qz6eCik,True,fr,True
uddfLWI0nRY,True,hi,True
