video_id,title,upload_date,uploader,channel,duration,view_count,like_count,webpage_url,description
RjDLpbR-mWM,Freedom From Pain Yoga Series,20150424,Grokker,Grokker,74.0,3676,19.0,https://www.youtube.com/watch?v=RjDLpbR-mWM,"See the full series: http://bit.ly/1MddenH

Find Freedom from Pain in this pain management yoga series from Tanya Fitzpatrick. Tanya's 7 pain management videos will provide full body pain relief. Begin your practice today."
T1HxN8rHbS8,20-Minute Yoga: Peace,20151021,Sun Spirit Yoga - Topic,Sun Spirit Yoga - Topic,1282.0,24,,https://www.youtube.com/watch?v=T1HxN8rHbS8,"Provided to YouTube by CDBaby

20-Minute Yoga: Peace · Sun Spirit Yoga

20-Minute Yoga: Peace

℗ 2011 Sun Spirit Yoga

Released on: 2011-02-12

Auto-generated by YouTube."
uX6PURK-u3I,Yoga with HSS -2016(3),20161128,Poonam chimurkar,Poonam chimurkar,59.0,40,,https://www.youtube.com/watch?v=uX6PURK-u3I,Yoga performances
Mrhgz1yeBSg,UNO Tashkent. In the Spotlight. International Yoga Day. Tashkent,20150713,UN Uzbekistan,UN Uzbekistan,104.0,194,,https://www.youtube.com/watch?v=Mrhgz1yeBSg,"Did you know that the word “Yoga”  comes from Sanskrit meaning to join or to unite, symbolizing the union of body and consciousness? First time in history, enthusiasts of Yoga from all over the world came together to celebrate International Yoga Day, as declared by the UN General Assembly Tashkent was no exception. Jakhongir Azimov grabbed his yoga mat and went to join the first Yogathon in Uzbekistan’s biggest stadium “Bunyodkor”."
uxTNtXRP7A4,"Celebration of the 1st International Day of Yoga at Thimphu, Bhutan",20150622,"India in Bhutan (Embassy of India, Thimphu)","India in Bhutan (Embassy of India, Thimphu)",2940.0,199,2.0,https://www.youtube.com/watch?v=uxTNtXRP7A4,"Celebration of the 1st International Day of Yoga at Thimphu, Bhutan"
MY9gDr71grk,FBC NEWS Nai Valeleka 23 09 15,20150923,FBC TV,FBC TV,236.0,113,,https://www.youtube.com/watch?v=MY9gDr71grk,
OEBcG4-_SY4,India makes two world records on International Yoga Day,20150622,ABP NEWS,ABP NEWS,29.0,611,2.0,https://www.youtube.com/watch?v=OEBcG4-_SY4,"India makes two world records on International Yoga Day

For latest breaking news, other top stories log on to:  http://www.abplive.in 🔴Watch ABP News Live 24/7 https://www.youtube.com/watch?v=nyd-xznCpJc"
azMcABrZNuo,Rashtriya Yoga Shikshak Sammelan - Inaugural Function (Part 2),20150622,Ministry of Education Government of India,Ministry of Education Government of India,1753.0,361,1.0,https://www.youtube.com/watch?v=azMcABrZNuo,
VjcqJMSG0ss,"E K MAJI, IAS",20150219,sreekanth V,sreekanth V,3.0,144,3.0,https://www.youtube.com/watch?v=VjcqJMSG0ss,I created this video with the YouTube Slideshow Creator (http://www.youtube.com/upload)
q_eewVT7ZZQ,Yoga Play,20160221,Loosen Up,Loosen Up,210.0,730,2.0,https://www.youtube.com/watch?v=q_eewVT7ZZQ,"To celebrate a fun new handstand I refined a few days ago, I decided to turn it into a flow sequence, and share it with you all! 

I hope you enjoy it.

Keep smiling!

http://www.loosenup.com.au/"
XaQqwIuvDnM,Grand Opening of LifePath Yoga & Wellness in Norwalk with Nina Antolino,20151119,healthreports,healthreports,42.0,344,,https://www.youtube.com/watch?v=XaQqwIuvDnM,
SWPzvxcJePk,2019 best yoga song. Aao milkar yoga karen. singer - vishwajeet mishra,20160830,Nice One Entertainment Gunanand Mishra,Nice One Entertainment Gunanand Mishra,299.0,355,10.0,https://www.youtube.com/watch?v=SWPzvxcJePk,"listening newest & hit hindi, maithili, bhojpuri songs please like & share my youtube - nice one entertainment.
thank u ."
s48lTIFXmfg,Cheque Handover From China Railway to The Fiji Sevens Team,20160819,Fiji Sun Digital,Fiji Sun Digital,43.0,115,,https://www.youtube.com/watch?v=s48lTIFXmfg,Cheque Handover From China Railway to The Fiji Sevens Team
ZPr-uZMwQY4,YOGA  promo for International Yoga Day,20150622,Pampa Biswas,Pampa Biswas,30.0,203,3.0,https://www.youtube.com/watch?v=ZPr-uZMwQY4,
c9LrrYZVGsg,International Yoga Day: PM Narendra Modi Address To Nation,20150621,India Today,India Today,1800.0,180,2.0,https://www.youtube.com/watch?v=c9LrrYZVGsg,"Prime Minister Narendra Modi address to nation on the International Yoga Day at Rajpath 

Follow us:
YouTube: https://www.youtube.com/channel/UCYPvAwZP8pZhSMW8qs7cVCw?sub_confirmation=1
Twitter: https://twitter.com/IndiaToday
Facebook: https://www.facebook.com/IndiaToday"
1NcXFB8lQmo,Yoga Nidra for Chronic Pain |  30 Minute Guided Meditation,20150501,Ann Swanson Wellness,Ann Swanson Wellness,1767.0,52360,608.0,https://www.youtube.com/watch?v=1NcXFB8lQmo,"Get FREE Trauma-informed meditation scripts + a sound healing track: https://www.annswansonwellness.com/7-meditation-scripts

This yoga nidra for chronic pain 30 minute guided meditation will aid you in total yoga relaxation and encourage natural pain relief. Learn the benefits of yoga therapy including how you can use yoga nidra to reduce pain.
 
Through guided yoga nidra and other relaxation techniques you are working on adapting and breaking through old neural pathways or habits of the brain (similar to the yogic concept of samskaras). The intention behind this 30 minute yoga nidra  is to shift your neurobiology to help you deal with chronic pain better, which can mean feeling less pain intensity overall. This guided meditation for chronic pain will leave you feeling relaxed and rejuvenated. 
 
Ann Swanson Wellness is focused on making yoga for everyone and for you to be able to access yoga anywhere. Whether you live a life with chronic pain or are looking to grow in your yoga practice, this free meditation for pain relief video is for you and we hope that this yoga nidra relaxation practice serves you well. 

ALSO TRY YOGA NIDRA FOR MINDFUL EATING & BETTER SLEEP BY ANN SWANSON: https://youtu.be/Nvt-cZ6r-OU

--- 

📌 Order _Meditation for the Real World_ book with bonuses: https://www.meditationfortherealworld.com

📌 Join the Meditation Teacher Training: https://www.annswansonwellness.com/meditation-teacher-training

📌 Order _SCIENCE OF YOGA_ book with bonuses: https://scienceof.yoga

---

Ann Swanson is an international best-selling author of _SCIENCE OF YOGA_ and _Meditation for the Real World,_ with over 500,000 copies sold worldwide in 15+ languages. She has a Master of Science in Yoga Therapy, is a licensed massage therapist, and a Tai Chi for Health instructor who studies with Dr. Paul Lam.

---

Subscribe here: https://www.youtube.com/user/flexiblewellness?sub_confirmation=1


Video shot by Alfred Ellison Gregg IV http://www.aegivphoto.com"
iII_o5iEnX4,International Yoga Day: Benefits of Yoga,20161103,Span Communications,Span Communications,30.0,3770,3.0,https://www.youtube.com/watch?v=iII_o5iEnX4,"Learn about the benefits of Yoga, this International Yoga Day"
