                                                     channel  count
                                                        WION     31
                                                 India Today     29
                                           Ministry of Ayush     24
                                               Narendra Modi     15
                                                    DD India     11
                                                        NDTV     10
                                                  CNN-News18      9
                                              Republic World      8
                                                   Times Now      7
                      Ministry of Information & Broadcasting      6
                                                     Aaj Tak      5
                               ISCM of Sri Balaji Vidyapeeth      5
                                            Indian Diplomacy      5
                                                     DD News      5
                                                      FBC TV      5
                                                    Sadhguru      4
                                                   Sansad TV      4
                                      Bharatiya Janata Party      4
                                                   wswd 2025      4
                                                Yoga 4 Unity      4
            Morarji Desai National Institute of Yoga (MDNIY)      4
                             Directorate Ayurved Uttarakhand      4
                         Ministry of External Affairs, India      3
                                                  NEWS9 Live      3
                                               Fact Navigate      3
                                              Times Of India      3
                                                  Mango News      3
                                               Oneindia News      3
                                                    ANI News      3
                                                    ABP NEWS      3
                                               Nirogi Duniya      3
                India in South Sudan- Embassy of India, Juba      2
                                       Drishti IAS : English      2
                                            Bharat Swabhiman      2
                                                   Firstpost      2
                                           Yoga With Adriene      2
                                              Yoga With Modi      2
                                            Associated Press      2
                                                   TRT World      2
                                               Yog Yogi Yoga      2
                                                    Onlooker      2
                                                    euronews      2
                                                  SheelTalks      2
                                                   NYOOOZ TV      2
                                                    NMF News      2
                                                   CNBC-TV18      2
                                                 PsycheTruth      2
                                        Doordarshan National      2
                                        Yogahitha Foundation      2
                           Ashima Gupta (VedaQHealthfulness)      2
                                                      Glamrs      2
                                          Rishikesh Writings      2
                                                  EMPC-IGNOU      2
                                                 Drishti IAS      2
                                                Nayi Drishti      2
                                                    G28 News      1
                                          Zee TV Middle East      1
                                                JJ Filmworks      1
                      High Commission of India ,Kuala Lumpur      1
                                                    Sky News      1
                                             AIR NEWS KOHIMA      1
                  High Commission of India Brunei Darussalam      1
                                                chandu vlogs      1
                               Swami Jyotirmayananda Society      1
                                           InKhabar Official      1
                                          Vivekananda Kendra      1
                                                  BYJU'S IAS      1
                                          PRAJNA FOUNDATION       1
                                             VISION TV WORLD      1
                                                      ET Now      1
                                    Embassy of India, Muscat      1
                                             Martha Donnelly      1
                                          Al Jazeera English      1
                                                      P1NEWS      1
                                             Brianna Roberts      1
                                               UN Uzbekistan      1
                                              Prince Academy      1
                                    The Mantra Room Brisbane      1
                                          World News Channel      1
                                               Achoose World      1
                                      Arihant Online Academy      1
                                     India at United Nations      1
