query,tweet_url,text,scrape_time,hashtags,year,theme,language,governance_score,cosmic_score
InternationalYogaDay since:2015-06-19 until:2015-06-22,https://x.com/And_Rasta/status/612771807980945408,"Andrasta
@And_Rasta
·
Jun 22, 2015
#Happy #SummerSolstice, #FathersDay, #GladMidsommar, and #InternationalYogaDay, #Yall!",1779348232.5022788,"['Happy', 'SummerSolstice', 'FathersDay', 'GladMidsommar', 'InternationalYogaDay', 'Yall']",2015.0,governance_global,mixed,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22,https://x.com/blossomyogalove/status/612771256421756928,"Blossom
@blossomyogalove
·
Jun 22, 2015
Thanks to all who came to the #meditation #summersolstice #YogaDay #InternationalYogaDay #blossom @… 
https://
instagram.com/p/4Nd-Dsidms/",1779348233.120437,"['meditation', 'summersolstice', 'YogaDay', 'InternationalYogaDay', 'blossom']",2015.0,governance_global,mixed,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22,https://x.com/ELEVATEYEG/status/612770977173278720,"Elevate Activewear
@ELEVATEYEG
·
Jun 22, 2015
amazing race in St Albert and yoga in the park #InternationalYogaDay #lahariyogakulacollective 
@LahariYoga",1779348233.4273632,"['InternationalYogaDay', 'lahariyogakulacollective']",2015.0,governance_global,mixed,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22,https://x.com/MassMan44/status/612770197112422400,"MASSIMO MANDARINO
@MassMan44
·
Jun 22, 2015
Happy #InternationalYogaDay. How were the events??? #Vancouver anyone have pictures?",1779348234.174014,"['InternationalYogaDay', 'Vancouver']",2015.0,governance_global,mixed,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22,https://x.com/LSPACEswim/status/612769422672064512,"LSPACE
@LSPACEswim
·
Jun 22, 2015
In their happy place  
@yoga_girl
 
@gopro
 #internationalyogaday 
@nowvida
 
http://
ift.tt/1I8rc72",1779348238.961468,['internationalyogaday'],2015.0,governance_global,mixed,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,https://x.com/nitingzb/status/612707766185037829,"#गुलाम_नमाज़ी vs #अंधभक्त
@nitingzb
·
Jun 22, 2015
@VarshaRitu_ 
@YesIamSaffron
 बरनोल लगाओ #InternationalYogaDay मनाओ !",1779348756.247812,"['ग', 'अ', 'InternationalYogaDay']",2015.0,governance_global,hi,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,https://x.com/OnlinePali/status/612683705623138305,"Online Pali News
@OnlinePali
·
Jun 22, 2015
ये तस्वीरे हमे भेजी हैं गुडा कला सोजत से अशोक कुमार ने..
#IYDPALI #Internationalyogaday #yogaday #IYD
:::: Online... 
http://
fb.me/2hb1dUCjG",1779348756.475147,"['IYDPALI', 'Internationalyogaday', 'yogaday', 'IYD']",2015.0,governance_global,hi,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,https://x.com/OnlinePali/status/612682181060751361,"Online Pali News
@OnlinePali
·
Jun 22, 2015
ये तस्वीरे हमे भेजी हैं गुन्दोज से भी बिशनोई ने...
#IYDPALI #Internationalyogaday #yogaday #IYD 
http://
fb.me/7s3OmVvYt",1779348756.542413,"['IYDPALI', 'Internationalyogaday', 'yogaday', 'IYD']",2015.0,governance_global,hi,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,https://x.com/OnlinePali/status/612679705049718784,"Online Pali News
@OnlinePali
·
Jun 22, 2015
ये तस्वीरे हमे भेजी हैं रोहट से जोगाराम देवासी ने...
#IYDPALI #Internationalyogaday #yogaday #IYD
:::: Online... 
http://
fb.me/7iMeVRnQ9",1779348756.604293,"['IYDPALI', 'Internationalyogaday', 'yogaday', 'IYD']",2015.0,governance_global,hi,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,https://x.com/sitaram_thakare/status/612674931634106368,"Sitaram Patil
@sitaram_thakare
·
Jun 22, 2015
BJPDelhiState: RT rpsinghkhalsa: योग करे निरोग रहे  #SaalEkShuruaatAnek #InternationalYogaDay #BJP #VivekanandYouth…",1779348756.665577,"['SaalEkShuruaatAnek', 'InternationalYogaDay', 'BJP', 'VivekanandYouth']",2015.0,governance_global,hi,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,https://x.com/SRIGunwant/status/612670977160286208,"Gunwant Kishor Bairwa
@SRIGunwant
·
Jun 22, 2015
बहुत ही सटीक जानकारी देने के लिए धन्यवाद 
@BhayaLal
 
@barotchetan99
 #YogaDay #InternationalYogaDay #india #pr #media 
https://
x.com/barotchetan99/
status/612512373614600192
…
This post is unavailable.",1779348756.727382,"['YogaDay', 'InternationalYogaDay', 'india', 'pr', 'media']",2015.0,governance_global,hi,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,,This post is unavailable.,1779348756.789099,[],2015.0,governance_global,hi,1,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,https://x.com/AAkshatt/status/612667273849913345,"The Soul Searcher
@AAkshatt
·
Jun 22, 2015
सर, आपने कब से अफीम चाटना शुरु कर दिया? Or #InternationalYogaDay has done reaction on your brain?  @rammadhavbjp
Quote
Kotha.Butchikotaiah
@Butchikotaiah
·
Jun 22, 2015
Ram Madhav deletes tweets questioning VP Hamid Ansari's absence at Yoga Day event",1779348756.85692,['InternationalYogaDay'],2015.0,governance_global,hi,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,https://x.com/Hindustanse/status/612666381289549824,"𝓓𝓻. 𝓝 𝓟𝓪𝓽𝓮𝓵
@Hindustanse
·
Jun 22, 2015
Replying to 
@Hindustanse
#9: गलत मुद्रा से जन्मी पीड़ा में मुक्ति मिलती है
#10: अंतर्ज्ञान में वर्धन के कारण सही निर्णय लेने की क्षमता बढ़ती है
#InternationalYogaDay",1779348756.920789,"['9', '10', 'InternationalYogaDay']",2015.0,governance_global,hi,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,https://x.com/AmreshwarS/status/612666300641378305,"Amreshwar P Sinha
@AmreshwarS
·
Jun 22, 2015
Tashkent & Uzbekistan में लोगों ने #InternationalYogaDay celebrate किया पर भारत में Secular कांग्रसियों ने नहीं किया
Quote
ET Politics
@ETPolitics
·
Jun 21, 2015
Tashkent, Uzbekistan performs asanas effortlessly during  #InternationalDayofYoga celebrations (Pic: MEA)",1779348756.9832268,"['InternationalYogaDay', 'InternationalDayofYoga']",2015.0,governance_global,hi,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:hi,https://x.com/AmanRanaKangra/status/612657862112706560," राणा भारतिय
@AmanRanaKangra
·
Jun 22, 2015
Replying to 
@friendsofrss
@RSS_Org
 #योगः_कर्मसु_कौशलम् 
 संस्कृति का सार है योग
संस्कारो का आधार है योग ||  #InternationalYogaDay",1779348757.04411,"['य', 'InternationalYogaDay']",2015.0,governance_global,hi,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:fr,https://x.com/yeragomes/status/612748266942398468,"Yeradmi
@yeragomes
·
Jun 22, 2015
#internationalyogaday con el flow de santiagoguesthouse 
https://
instagram.com/p/4NTg9gvvHS/",1779349273.454584,['internationalyogaday'],2015.0,governance_global,fr,2,0
InternationalYogaDay since:2015-06-19 until:2015-06-22 lang:fr,https://x.com/taste_of_usa/status/612674315478257664,"Taste of USA
@taste_of_usa
·
Jun 22, 2015
Cours de Yoga géant à Times Square pour fêter l'#InternationalYogaDay ! Environ 15 000 personnes présentes !
Times Square",1779349273.5166972,['InternationalYogaDay'],2015.0,governance_global,fr,2,0
