video_id,entity,label
AfghupHyo3A,One,CARDINAL
AfghupHyo3A,India,GPE
AfghupHyo3A,One,CARDINAL
AfghupHyo3A,India,GPE
AfghupHyo3A,One,CARDINAL
AfghupHyo3A,India,GPE
AfghupHyo3A,China,GPE
AfghupHyo3A,India,GPE
AfghupHyo3A,China,GPE
AfghupHyo3A,India,GPE
AfghupHyo3A,China,GPE
AfghupHyo3A,India,GPE
AfghupHyo3A,New Delhi,GPE
AfghupHyo3A,Sunday,DATE
AfghupHyo3A,Mark,PERSON
AfghupHyo3A,New Delhi,GPE
AfghupHyo3A,Sunday,DATE
AfghupHyo3A,Mark,PERSON
AfghupHyo3A,New Delhi,GPE
AfghupHyo3A,Sunday,DATE
AfghupHyo3A,Mark,PERSON
AfghupHyo3A,first,ORDINAL
AfghupHyo3A,International Day,EVENT
AfghupHyo3A,the first International Day,DATE
AfghupHyo3A,the first International Day,DATE
AfghupHyo3A,21st June,DATE
AfghupHyo3A,June,DATE
AfghupHyo3A,21st June,DATE
AfghupHyo3A,Chinese,NORP
AfghupHyo3A,Chinese,NORP
AfghupHyo3A,Chinese,NORP
AfghupHyo3A,"about 37,5",CARDINAL
AfghupHyo3A,"about 37,5",CARDINAL
AfghupHyo3A,"about 37,5",CARDINAL
AfghupHyo3A,00,CARDINAL
AfghupHyo3A,00,CARDINAL
AfghupHyo3A,50,CARDINAL
AfghupHyo3A,50,CARDINAL
AfghupHyo3A,50,CARDINAL
AfghupHyo3A,India,GPE
AfghupHyo3A,India,GPE
AfghupHyo3A,India,GPE
AfghupHyo3A,only one,CARDINAL
AfghupHyo3A,only one,CARDINAL
AfghupHyo3A,only one,CARDINAL
AfghupHyo3A,about 93,CARDINAL
AfghupHyo3A,about 250,CARDINAL
AfghupHyo3A,about 93,CARDINAL
AfghupHyo3A,about 250,CARDINAL
AfghupHyo3A,about 93,CARDINAL
AfghupHyo3A,about 250,CARDINAL
AfghupHyo3A,one,CARDINAL
N42eZHCExBo,first,ORDINAL
N42eZHCExBo,first,ORDINAL
N42eZHCExBo,first,ORDINAL
N42eZHCExBo,Mahatma,PERSON
N42eZHCExBo,Mahatma,PERSON
N42eZHCExBo,Mahatma Gandhi Medical College Gandhi Medical College Gandhi Medical College,ORG
N42eZHCExBo,Channel Dr Meena,PERSON
N42eZHCExBo,Shiva Kumar,PERSON
N42eZHCExBo,Shiva Kumar,PERSON
N42eZHCExBo,Shiva Kumar,PERSON
N42eZHCExBo,SRI Devi and Lata,PERSON
N42eZHCExBo,SRI Devi,PERSON
N42eZHCExBo,SRI Devi,PERSON
N42eZHCExBo,Surya,ORG
N42eZHCExBo,Surya,ORG
N42eZHCExBo,Surya,ORG
N42eZHCExBo,Aruna Surya,PERSON
N42eZHCExBo,Aruna Surya,PERSON
N42eZHCExBo,Aruna Surya,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Anjali,NORP
N42eZHCExBo,Anjali,NORP
N42eZHCExBo,Anjali,NORP
N42eZHCExBo,kokilasana,ORG
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Bellows,LOC
N42eZHCExBo,Bellows,LOC
N42eZHCExBo,Bellows,LOC
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Anjali,NORP
N42eZHCExBo,Anjali,NORP
N42eZHCExBo,Anjali,NORP
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,two three,DATE
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,five,CARDINAL
N42eZHCExBo,Asana,LOC
N42eZHCExBo,Asana,LOC
N42eZHCExBo,Asana,LOC
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,five,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,five,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,five,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,five,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,five,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,five,CARDINAL
N42eZHCExBo,Twist,NORP
N42eZHCExBo,Twist,NORP
N42eZHCExBo,Twist,NORP
N42eZHCExBo,Asana,GPE
N42eZHCExBo,Asana,GPE
N42eZHCExBo,first,ORDINAL
N42eZHCExBo,Asana,GPE
N42eZHCExBo,first,ORDINAL
N42eZHCExBo,Asana,GPE
N42eZHCExBo,first,ORDINAL
N42eZHCExBo,four,CARDINAL
N42eZHCExBo,four,CARDINAL
N42eZHCExBo,four,CARDINAL
N42eZHCExBo,one,CARDINAL
N42eZHCExBo,one,CARDINAL
N42eZHCExBo,one,CARDINAL
N42eZHCExBo,Harmony,NORP
N42eZHCExBo,Harmony,NORP
N42eZHCExBo,Harmony,NORP
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two three,DATE
N42eZHCExBo,two three,DATE
N42eZHCExBo,two three,DATE
N42eZHCExBo,six,CARDINAL
N42eZHCExBo,six,CARDINAL
N42eZHCExBo,one,CARDINAL
N42eZHCExBo,one,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,six,CARDINAL
N42eZHCExBo,six,CARDINAL
N42eZHCExBo,Buster,PERSON
N42eZHCExBo,Buster,PERSON
N42eZHCExBo,Buster,PERSON
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,five,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,five,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,two three,DATE
N42eZHCExBo,makarasana,GPE
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,Asana,PERSON
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,one,CARDINAL
N42eZHCExBo,one,CARDINAL
N42eZHCExBo,one,CARDINAL
N42eZHCExBo,vajrasana,GPE
N42eZHCExBo,mudra yoga mudra yoga mudra,PERSON
N42eZHCExBo,Hands,PRODUCT
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,three,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
N42eZHCExBo,two,CARDINAL
HGXXOaEQEa0,UK,GPE
HGXXOaEQEa0,UK,GPE
HGXXOaEQEa0,UK,GPE
HGXXOaEQEa0,State Defense of India,ORG
HGXXOaEQEa0,State Defense of India,ORG
HGXXOaEQEa0,State Defense of India,ORG
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,UK,GPE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,UK,GPE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,UK,GPE
HGXXOaEQEa0,the International Day,EVENT
HGXXOaEQEa0,International Day,EVENT
HGXXOaEQEa0,International Day,EVENT
HGXXOaEQEa0,June 21,DATE
HGXXOaEQEa0,June 21,DATE
HGXXOaEQEa0,June 21,DATE
HGXXOaEQEa0,summer,DATE
HGXXOaEQEa0,summer,DATE
HGXXOaEQEa0,summer,DATE
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,Delhi,GPE
HGXXOaEQEa0,Delhi,GPE
HGXXOaEQEa0,Delhi,GPE
HGXXOaEQEa0,East,LOC
HGXXOaEQEa0,East,LOC
HGXXOaEQEa0,East,LOC
HGXXOaEQEa0,Hemisphere,ORG
HGXXOaEQEa0,Hemisphere,ORG
HGXXOaEQEa0,Hemisphere,ORG
HGXXOaEQEa0,Global,ORG
HGXXOaEQEa0,Universal,PERSON
HGXXOaEQEa0,Harmony Universal,PERSON
HGXXOaEQEa0,Harmony Universal,PERSON
HGXXOaEQEa0,Harmony,NORP
HGXXOaEQEa0,Raja,ORG
HGXXOaEQEa0,Raja,ORG
HGXXOaEQEa0,Raja,ORG
HGXXOaEQEa0,Singh,GPE
HGXXOaEQEa0,State,ORG
HGXXOaEQEa0,Singh,GPE
HGXXOaEQEa0,State,ORG
HGXXOaEQEa0,Singh,GPE
HGXXOaEQEa0,State,ORG
HGXXOaEQEa0,Blackman Mr,ORG
HGXXOaEQEa0,Blackman Mr,ORG
HGXXOaEQEa0,Blackman Mr,ORG
HGXXOaEQEa0,International,GPE
HGXXOaEQEa0,International,GPE
HGXXOaEQEa0,England,GPE
HGXXOaEQEa0,England,GPE
HGXXOaEQEa0,England,GPE
HGXXOaEQEa0,today,DATE
HGXXOaEQEa0,today,DATE
HGXXOaEQEa0,today,DATE
HGXXOaEQEa0,the United Nations,ORG
HGXXOaEQEa0,Nations,ORG
HGXXOaEQEa0,Nations,PERSON
HGXXOaEQEa0,177,CARDINAL
HGXXOaEQEa0,177,CARDINAL
HGXXOaEQEa0,177,CARDINAL
HGXXOaEQEa0,193,CARDINAL
HGXXOaEQEa0,193,CARDINAL
HGXXOaEQEa0,193,CARDINAL
HGXXOaEQEa0,190,CARDINAL
HGXXOaEQEa0,190,CARDINAL
HGXXOaEQEa0,190,CARDINAL
HGXXOaEQEa0,Millennia,GPE
HGXXOaEQEa0,the last century,DATE
HGXXOaEQEa0,two,CARDINAL
HGXXOaEQEa0,Millennia,GPE
HGXXOaEQEa0,the last century,DATE
HGXXOaEQEa0,two,CARDINAL
HGXXOaEQEa0,Millennia,GPE
HGXXOaEQEa0,the last century,DATE
HGXXOaEQEa0,two,CARDINAL
HGXXOaEQEa0,millions,CARDINAL
HGXXOaEQEa0,millions,CARDINAL
HGXXOaEQEa0,millions,CARDINAL
HGXXOaEQEa0,today,DATE
HGXXOaEQEa0,today,DATE
HGXXOaEQEa0,today,DATE
HGXXOaEQEa0,Old Entrance,ORG
HGXXOaEQEa0,10 years,DATE
HGXXOaEQEa0,10 years,DATE
HGXXOaEQEa0,10 years ago,DATE
HGXXOaEQEa0,this day,DATE
HGXXOaEQEa0,this day,DATE
HGXXOaEQEa0,this day,DATE
HGXXOaEQEa0,today,DATE
HGXXOaEQEa0,today,DATE
HGXXOaEQEa0,today,DATE
HGXXOaEQEa0,the united General,ORG
HGXXOaEQEa0,the united General,ORG
HGXXOaEQEa0,the united General Assembly,ORG
HGXXOaEQEa0,Modi,PERSON
HGXXOaEQEa0,Assembly,ORG
HGXXOaEQEa0,Modi,PERSON
HGXXOaEQEa0,Assembly,ORG
HGXXOaEQEa0,Modi,PERSON
HGXXOaEQEa0,this day,DATE
HGXXOaEQEa0,5y,CARDINAL
HGXXOaEQEa0,this day,DATE
HGXXOaEQEa0,5y,CARDINAL
HGXXOaEQEa0,this day,DATE
HGXXOaEQEa0,5y,CARDINAL
HGXXOaEQEa0,the Inception of this,ORG
HGXXOaEQEa0,the Inception of this,ORG
HGXXOaEQEa0,the Inception of this International yoga day and as years International yoga day and as years International yoga day and,ORG
HGXXOaEQEa0,the years and decades,DATE
HGXXOaEQEa0,all years and decades,DATE
HGXXOaEQEa0,all years and decades,DATE
HGXXOaEQEa0,the entire day,DATE
HGXXOaEQEa0,the entire day,DATE
HGXXOaEQEa0,the entire day,DATE
HGXXOaEQEa0,half ago,DATE
HGXXOaEQEa0,half ago,DATE
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,Parliament,ORG
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,Parliament,ORG
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,Parliament,ORG
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,SRI Anil,PERSON
HGXXOaEQEa0,SRI Anil,PERSON
HGXXOaEQEa0,SRI Anil,PERSON
HGXXOaEQEa0,ra vrait,PERSON
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,Bob India,PERSON
HGXXOaEQEa0,Bob India,PERSON
HGXXOaEQEa0,Bob Blackman,PERSON
HGXXOaEQEa0,Mahan Swami,PERSON
HGXXOaEQEa0,Guru Ram,PERSON
HGXXOaEQEa0,Krishna RNA SP,PERSON
HGXXOaEQEa0,Cameron,PERSON
HGXXOaEQEa0,Cameron,PERSON
HGXXOaEQEa0,Cameron,PERSON
HGXXOaEQEa0,Bob,PERSON
HGXXOaEQEa0,Bob,PERSON
HGXXOaEQEa0,Bob Blackman,PERSON
HGXXOaEQEa0,Parliament,ORG
HGXXOaEQEa0,Blackman,ORG
HGXXOaEQEa0,Parliament,ORG
HGXXOaEQEa0,Blackman,ORG
HGXXOaEQEa0,Parliament,ORG
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,MPS,ORG
HGXXOaEQEa0,MPS,ORG
HGXXOaEQEa0,MPS,ORG
HGXXOaEQEa0,the longest day,DATE
HGXXOaEQEa0,the longest day,DATE
HGXXOaEQEa0,the longest day,DATE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,just a few yards,TIME
HGXXOaEQEa0,Parliament,ORG
HGXXOaEQEa0,Parliament,ORG
HGXXOaEQEa0,Parliament,ORG
HGXXOaEQEa0,first,ORDINAL
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,first,ORDINAL
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,first,ORDINAL
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,The Art of Living,WORK_OF_ART
HGXXOaEQEa0,The Art of Living,WORK_OF_ART
HGXXOaEQEa0,The Art of Living,WORK_OF_ART
HGXXOaEQEa0,Art of Living For The,ORG
HGXXOaEQEa0,Living For The shivananda Yoga asham,WORK_OF_ART
HGXXOaEQEa0,Living For The shivananda Yoga asham,WORK_OF_ART
HGXXOaEQEa0,Satish Kumar,PERSON
HGXXOaEQEa0,Satish Kumar,PERSON
HGXXOaEQEa0,Satish Kumar,PERSON
HGXXOaEQEa0,the whole day,DATE
