video_id,title,channel,upload_date,duration,view_count
V4bK7BdAm-o,International Day of Yoga 2024,CBS Chicago,20240621,115,1235
U7uJI2m-W1Q,Yoga with Deviyarani | International Day of Yoga 2024,Doordarshan Manipur,20240621,1783,40724
6knnQMr_FPg,Discussion on International Day of Yoga 2024 | Yoga for Self & Society,Doordarshan Manipur,20240621,3196,1855
6wCIFVLibfc,Happy International Day of Yoga 2024!,The Art of Living Dharma Sthambha Yojana,20240620,121,1140
oYLY4KyNukI,International Yoga Day 2024 | 2024 Theme: Yoga for self and society | World News | WION,WION,20240621,289,2357
bMY2KUyz330,Importance of Yoga by Sadhguru | International Day of Yoga 2024,Ministry of Ayush,20240619,74,1543
XoKsd-IwLpQ,"International Day of Yoga: Journey | 20 June, 2024",Sansad TV,20240620,1286,6337
7e85JPQaWCw,YOGA DAY 2024 Don't Miss This Opportunity - FREE Offering From Sadhguru | International Day Of Yoga,The Mystic World,20240608,293,4738
ISft6hv2hZE,International Day of Yoga 2024: Countdown Begins - 12 Days to Go,Ministry of Ayush,20240609,25,1663
DQG9Bcq3Sgs,International Yoga Day 2024: 10th International day of Yoga across the globe | Latest News | WION,WION,20240621,411,1719
vpVp1XsRpco,Global Celebration of International Day of Yoga 2024,Ministry of Ayush,20240613,69,991
PNLcohhQTHo,Paadahastasana - International Day of Yoga -2024,DS YOGA,20240620,75,1067
LmgN-lRJ3TA,International Yoga Day 2024: How India is connecting the world through Yoga | WION,WION,20240621,391,479
IaMaAM5QMC8,International Day of Yoga • 21 June 2024,Datta Peetham SGS Ashrama,20240621,13174,4346
PwlftiCiWmE,International Day of Yoga 2024,WHO Country Office for India,20240620,169,70380
PwymV0sekDs,10th International Day of Yoga #IDY2024 #YogaDay2024 #YogaForSelfandSociety #YogaDayMoD2024,Indian Air Force,20240622,55,1200
yZ9hNDlqwjU,"2024 Year Marks the 10th International Day Of Yoga With The Theme ""Yoga For Self And Society""",CNN-News18,20240621,597,1352
vRA895CMn1o,International Yoga Day 2024: Indian PM Modi to lead 10th International Day of Yoga | World DNA LIVE,WION,20240621,2925,11143
wXO2eKyoSPA,International Yoga Day | UPSC | Drishti IAS English,Drishti IAS : English,20250621,531,4715
D5zJ5YIxOKA,DJJS Vilakshan Yoga & Dhyaan-Sadhana Shivir | Yoga Day 2024 | Yoga For Self & Society | #YogaforAll,Divya Jyoti Jagrati Sansthan,20240621,5056,28371
HxEEwQDE2lI,Celebration of 25 Days to International Day of Yoga 2024,Ministry of Ayush,20240527,6535,807
zkK_I-VW6wo,Happy International Yoga Day!  | Yoga Poses for a Better You | #internationalyogaday2024,USR Indu Samiti,20240621,257,3232
VbC5UGqsh24,"International Yoga Day 2024: From New York To New Zealand, The World Celebrates Yoga Day | WION",WION,20240621,145,2957
Jp5n2uTR6oA,“Finding Balance and Calmness through Yoga-Meditation” | 2024 International Yoga Day | English,Yogoda Satsanga Society of India,20240616,3449,8801
lKQ3WGLDBjQ,International Yoga Day 2024 LIVE: PM Modi leads International Day of Yoga celebration from Srinagar,WION,20240621,1355,981
