video_id,cluster,channel,year,word_count,dsi
T1SghqwJDsI,cluster_4,"Ministry of External Affairs, India",2015,25286,-1.2418752439819856
4Cob6uu3pww,cluster_4,"Ministry of External Affairs, India",2015,23701,-1.233041027117416
DnvGnPk5p5k,cluster_4,Ministry of Ayush,2015,20392,-1.1881495338088173
81J_pa88Mi4,cluster_4,Sadhguru,2023,13069,-0.9488875960997762
tdplSsPk8tI,cluster_4,NEWS9 Live,2023,12940,-0.9610698437089215
RBwItubQCoQ,cluster_4,India Today,2015,6591,-1.1222436211296096
Ux0Cc9Gj5R8,cluster_4,Aaj Tak,2015,5120,-1.0575019778582768
Ai75uMYMreQ,cluster_4,G28 News,2015,5093,-1.163576936789941
w_GjTWW5jPk,cluster_4,Zee TV Middle East,2015,4854,-1.0233815851308539
CifvyJWnZxQ,cluster_4,India Today,2025,4565,-0.5995022549548388
RzYiFBi82dI,cluster_4,India Today,2015,3783,-1.0714134079316726
pNDR2cHqdZ4,cluster_4,JJ Filmworks,2015,3747,-0.7529682162700373
LAuhSmFz9rM,cluster_4,Times Now,2023,3647,-0.6663087975409543
0Uxhco6qwFo,cluster_4,"High Commission of India ,Kuala Lumpur",2021,2634,-0.4715422188433236
tHkW2akJLfY,cluster_4,Sky News,2023,2500,-0.4461937263160145
XoKsd-IwLpQ,cluster_4,Sansad TV,2024,2351,-0.25052658030236874
NtXNYs1lPVU,cluster_4,Aaj Tak,2016,2297,-1.001203853059509
qUipY3hkyuk,cluster_4,NDTV,2015,2285,-0.9227721081888728
tAYDAz0xctI,cluster_4,AIR NEWS KOHIMA,2025,2252,-0.4538738392663212
lhw5-pJoPNk,cluster_4,Bharatiya Janata Party,2015,2161,-0.916215843141881
BorcTOHZ6-c,cluster_4,High Commission of India Brunei Darussalam,2018,2021,-1.0144371900868532
bfagZf_1n-s,cluster_4,ISCM of Sri Balaji Vidyapeeth,2015,2016,-0.8890908620292065
yJmMYPRU_UI,cluster_4,chandu vlogs,2015,1989,-0.981632113577968
