query,title,url,source,seendate,year
International Yoga Day,International Day of Yoga 2023 Date and Theme : Know the History and Significance of the Global Event Celebrating Yoga,https://www.latestly.com/lifestyle/festivals-events/international-day-of-yoga-2023-date-and-theme-know-the-history-and-significance-of-the-global-event-celebrating-yoga-5180190.html,,20230612T134500Z,2023
International Yoga Day,Popularity of yoga is increasing day by day : Union Minister Sonowal,https://news.webindia123.com/news/Articles/India/20230614/4086463.html,,20230614T131500Z,2023
International Yoga Day,India News | Popularity of Yoga is Increasing Day by Day : Union Minister Sonowal,https://www.latestly.com/agency-news/india-news-popularity-of-yoga-is-increasing-day-by-day-union-minister-sonowal-5200787.html,,20230614T161500Z,2023
International Yoga Day,PM Modi To Lead A Yoga Session At UN HQ On International Day of Yoga,https://www.india.com/us/pm-modi-us-yoga-session-un-hq-international-day-yoga-6113503/,,20230616T093000Z,2023
International Yoga Day,"International Yoga Day to celebrate well - being of body , mind",http://www.koreatimes.co.kr/www/nation/2023/06/120_352392.html,,20230606T010000Z,2023
International Yoga Day,MP : Vice President Dhankhar to lead mass Yoga demonstration in Jabalpur,http://aninews.in/news/national/general-news/mp-vice-president-dhankhar-to-lead-mass-yoga-demonstration-in-jabalpur20230617205618/,,20230617T173000Z,2023
International Yoga Day,ಜೂನ್ 21ರಂದು ವಿಶ್ವಸಂಸ್ಥೆ ಕೇಂದ್ರ ಕಚೇರಿಯಲ್ಲಿ  ಯೋಗ  ಮಾಡುವ ಸುಯೋಗ ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿಗೆ ! ,https://www.kannadaprabha.com/nation/2023/jun/16/pm-modi-to-lead-yoga-session-at-unhq-on-june-21-496186.html,,20230616T134500Z,2023
International Yoga Day,UNGA President Will Join PM Modi for International Yoga Day at UN Headquarters,https://www.news18.com/world/unga-president-will-join-pm-modi-for-international-yoga-day-at-un-headquarters-8090275.html,,20230616T014500Z,2023
International Yoga Day,"International Day of Yoga 2022 : Top and Latest News , Articles , Videos and Photo About International Day of Yoga 2022",https://www.thehealthsite.com/topics/international-day-of-yoga-2022/,,20230616T100000Z,2023
International Yoga Day,Looking forward to participate in Intl Yoga Day celebrations with PM Modi : UNGA President,https://news.webindia123.com/news/Articles/World/20230616/4087723.html,,20230616T041500Z,2023
International Yoga Day,Hold group yoga practice events on June 21 : UP CM,https://www.hindustantimes.com/cities/lucknow-news/uttar-pradesh-to-conduct-group-yoga-programs-in-all-gram-panchayats-and-urban-bodies-to-celebrate-international-yoga-day-101685728217106.html,,20230602T183000Z,2023
International Yoga Day,"UN officials , agencies , member states looking forward to Yoga Day commemoration at UNHQ led by PM Modi",https://www.firstpost.com/world/un-officials-agencies-member-states-looking-forward-to-yoga-day-commemoration-at-unhq-led-by-pm-modi-12750452.html,,20230617T044500Z,2023
International Yoga Day,PM Modi to lead Yoga Day celebrations in New York on June 21,https://www.aninews.in/news/national/general-news/pm-modi-to-lead-yoga-day-celebrations-in-new-york-on-june-2120230617192725/,,20230617T160000Z,2023
International Yoga Day,Looking forward to participate in Intl Yoga Day celebrations with PM Modi : UNGA President,http://aninews.in/news/world/us/looking-forward-to-participate-in-intl-yoga-day-celebrations-with-pm-modi-unga-president20230616073953/,,20230616T023000Z,2023
International Yoga Day,Modi to lead yoga session at UN HQ in New York to mark Intl Yoga Day,https://www.prokerala.com/news/articles/a1428958.html,,20230616T064500Z,2023
International Yoga Day,Read all Latest Updates on and about சர்வதேச யோகா தினம்,https://www.maalaimalar.com/tags/%E0%AE%9A%E0%AE%B0%E0%AF%8D%E0%AE%B5%E0%AE%A4%E0%AF%87%E0%AE%9A-%E0%AE%AF%E0%AF%8B%E0%AE%95%E0%AE%BE-%E0%AE%A4%E0%AE%BF%E0%AE%A9%E0%AE%AE%E0%AF%8D,,20230614T204500Z,2023
International Yoga Day,MoS Meenakashi Lekhi participates in Yoga session with diplomats,https://news.webindia123.com/news/Articles/World/20230617/4088400.html,,20230617T041500Z,2023
International Yoga Day,International Yoga Day | wgrz . com,https://www.wgrz.com/article/entertainment/television/programs/daybreak/international-yoga-day-to-be-celebrated-in-niagara-falls-council-of-heritage-and-arts-of-india/71-a72cd6e4-8cb0-4a86-b500-6321c91d4973,,20230609T163000Z,2023
