year,w,t,e
2015,0.47372861652480924,0.18726591760299646,0.0
2016,1.0,0.0,0.0
2017,0.8587234511736492,0.056179775280899034,0.9682255176496352
2018,0.5007490358410653,0.22846441947565554,0.9876763716646869
2019,0.04043595084407351,0.6666666666666667,1.0
2020,0.019295163265844205,0.6853932584269663,0.8913998664851595
2021,0.01808472134668255,1.0,0.8624419117858249
2022,0.011116890338755953,0.9475655430711611,0.8096209121693629
2023,0.012145166741370507,0.5917602996254684,0.24762234273743727
2024,0.011275086708388962,0.310861423220974,0.6014723174937181
2025,0.015043036603284253,0.7116104868913858,0.7914403078749069
2026,0.0,0.0,0.6245523447632461
