year,twitter_count,score,embassy_count,twitter_norm,trends_norm,embassy_norm,idy_visibility_index
2015,1087.0,5.833333333333333,0.0,1.0,0.5633802816901409,0.0,0.5690140845070423
2016,916.0,4.791666666666667,0.0,0.8426862925482981,0.4627766599597586,0.0,0.4759075150072468
2017,918.0,5.104166666666667,0.0,0.8445262189512419,0.4929577464788733,0.0,0.4856978115241588
2018,467.0,6.0625,0.0,0.4296228150873965,0.585513078470825,0.0,0.34750304957620615
2019,765.0,8.5,0.0,0.703771849126035,0.8209255533199196,0.0,0.5277864056463899
2020,683.0,8.604166666666666,0.0,0.6283348666053358,0.8309859154929577,0.0,0.5006297212900217
2021,315.0,10.354166666666666,0.0,0.28978840846366144,1.0,0.0,0.4159153633854646
2022,383.0,10.0625,9.0,0.35234590616375344,0.971830985915493,0.14285714285714285,0.4753448010972921
2023,0.0,8.083333333333334,5.0,0.0,0.7806841046277667,0.07936507936507936,0.2580147551978538
2024,0.0,6.520833333333333,11.0,0.0,0.6297786720321932,0.1746031746031746,0.2413145539906103
2025,0.0,8.75,32.0,0.0,0.8450704225352114,0.5079365079365079,0.40590207914151577
2026,0.0,0.0,63.0,0.0,0.0,1.0,0.3
