Year,NYC_Physical,Kolkata_Physical,Vizag_Physical,Official_Retweets,Official_Comments,Public_Retweets,Public_Comments
2015,30000,10000,5000,12000,2000,25000,4500
2016,10000,12000,8000,18000,3500,42000,8200
2017,10000,15000,12000,24000,5000,61000,11500
2018,12000,18000,15000,31000,6800,88000,15000
2019,11000,22000,18000,45000,9500,112000,19800
2020,0,0,0,115000,32000,195000,54000
2021,3000,0,0,85000,21000,142000,38000
2022,3000,8000,8000,52000,11000,95000,22000
2023,1000,40000,25000,68000,14000,118000,27000
2024,10000,25000,35000,74000,16500,124000,31000
2025,10000,35000,300105,89000,19000,138000,36500
2026,10000,75000,45000,95000,22000,155000,41000
