year,w,t,e,idy_visibility_index_v2_4
2015,0.47372861652480924,0.18726591760299646,0.0,0.25503451777097247
2016,1.0,0.0,0.0,0.4
2017,0.8587234511736492,0.056179775280899034,0.8364312267657993,0.5722601085092242
2018,0.5007490358410653,0.22846441947565554,0.9330855018587361,0.5135335366175896
2019,0.04043595084407351,0.6666666666666667,1.0,0.49950771367096275
2020,0.019295163265844205,0.6853932584269663,0.5427509293680297,0.38329343809778327
2021,0.01808472134668255,1.0,0.46096654275092935,0.4724755242264053
2022,0.011116890338755953,0.9475655430711611,0.3420074349442379,0.42159655494646825
2023,0.012145166741370507,0.5917602996254684,0.011152416356877323,0.21476227565468148
2024,0.011275086708388962,0.310861423220974,0.10408921933085502,0.13933383764341023
2025,0.015043036603284253,0.7116104868913858,0.30855018587360594,0.3322184315217002
2026,0.0,0.0,0.11895910780669144,0.02973977695167286
