year,hashtag,count
2015,IDY2015,9
2015,idy2015,8
2015,internationaldayofyoga,7
2015,yoga,5
2015,idy,3
2015,sanfrancisco,2
2015,surfYOGAflow,2
2015,peace,2
2015,SIFCare,2
2015,yogaday,2
2016,IDY2015,3
2016,य,2
2016,InternationaYogaDay,2
2016,IDY2016,2
2016,throwback,1
2016,internationaldayofyoga,1
2016,jodhpur,1
2016,priyankasyogastudio,1
2017,bestoftheday,2
2017,य,1
2017,InternationaYogaDay,1
2017,IDY2015,1
2017,IDY2016,1
2017,idy2017,1
2017,dancerpose,1
2017,natarajasana,1
2017,balanceyoga,1
2017,yogabalance,1
2018,Yoga,3
2018,YogaDay,3
2018,IDY2017,3
2018,JaiHind,2
2018,JaiBharat,2
2018,IDY2018,2
2018,InternationalDayOfYoga2018,2
2018,SwasthaBharat,2
2018,AyushmanBharatYog,2
2018,अ,2
2019,IDY2015,1
2020,internationalyogaday,25
2020,internationalyoga,8
2020,internationalyogaday2015,7
2020,internationalyogaday2019,5
2020,internationalyogaday2016,5
2020,internationalyogaday2018,5
2020,internationalyogaday2017,5
2020,internationalyogaday2020,5
2020,internationalyogadayofyoga,5
2020,dailyfest,4
2021,idy2018,30
2021,idy2019,26
2021,idy2021,25
2021,idy2016,23
2021,idyll,23
2021,idyllic,23
2021,idy2020,23
2021,idybridal,23
2021,lalawidy,23
2021,idyourself,23
2022,idy2020,46
2022,idy2019,36
2022,idyll,34
2022,idyllic,34
2022,idybridal,34
2022,idy2018,31
2022,lalawidy,30
2022,idyourself,30
2022,idyweddingshoes,30
2022,idyshoes,30
2023,internationalyogaday,104
2023,internationalyogaday2016,46
2023,yoga,46
2023,internationalyogaday2023,45
2023,internationalyogaday2019,44
2023,internationalyogaday2017,44
2023,internationalyogaday2018,43
2023,happyinternationalyogaday,42
2023,internationaldayofyoga,41
2023,yogainspiration,41
2024,internationalyogaday,105
2024,InternationalYogaDay,58
2024,internationalyogaday2021,56
2024,internationalyogaday2020,54
2024,internationalyogaday2019,53
2024,internationalyogaday2024,46
2024,internationalyogaday2022,46
2024,internationalyogaday2023,45
2024,internationalyogaday2018,42
2024,yogaday,25
2025,internationalyogaday,65
2025,InternationalYogaDay,44
2025,internationalyogaday2024,40
2025,internationalyogaday2021,27
2025,internationalyogaday2018,27
2025,internationalyogaday2022,25
2025,yoga,24
2025,internationalyogaday2023,24
2025,internationalyogaday23,21
2025,IDY2024,21
2026,IDY2026,66
2026,YogaForWellness,62
2026,YogaForPeace,40
2026,YogaForHumanity,31
2026,YogaForHealth,28
2026,WellnessJourney,26
2026,InternationalYogaDay2026,25
2026,YogaDay,23
2026,HealthyLifestyle,23
2026,InternationalDayOfYoga,23
