query_hashtag,caption,likes,comments,timestamp,post_url,owner_username,display_url,is_video
InternationalYogaDay2015,"Yoga is the journey of the self, through the self, to the self✨ 

#yoga #yogastudio #yogasehihoga #instagood #fyp #internationalyogaday2015",8.0,0,2025-06-21T14:07:48.000Z,https://www.instagram.com/p/DLKmYU8ybKY/,rhythmicyoga_,https://scontent-cph2-1.cdninstagram.com/v/t51.75761-15/503693043_17856056484450315_7938557561864546650_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=MzY1OTkwNjQ0NDcyMTUwMDgyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTAyNC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=_ooK4WEDJa0Q7kNvwGV3PpC&_nc_oc=AdotIaTqb5gRD4qy_zGurk_63wwzbBpaJnlvXzV7KTPitCBycp-yMVCpVXMwp2qxAkQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=7&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_gid=hxUW_LrIBu9qo-dgKafnyg&_nc_ss=7a3ba&oh=00_Af7IPCc8Cvd4OuSIWzoiuT5b5EJjMqEKAhhr0OhxiX-0fQ&oe=6A19B310,
InternationalYogaDay2015,"Reimagining the Past, One Image at a Time

What if we could relive the power of a nation’s last royal post, the rise of a sports icon, and the spiritual strength of a global tradition?

With the power of AI-generated visuals, we’re reviving historical transitions, champion victories, and cultural movements — frame by frame.

🖼️ Today’s Post:
🔹1948 – C. Rajagopalachari took office as the last Governor-General of India, marking the end of British-appointed leadership
🔹2009 – Saina Nehwal made history as the first Indian woman to win a Super Series Badminton Tournament
🔹2015 – The world celebrated the Summer Solstice with the first International Yoga Day

🎨 Created using cutting-edge AI tools
📚 Bridging facts with imagination

💬 Which national, athletic, or spiritual moment would you love to see brought to life next?

👉 Follow us for more historic recreations, every day! Join FeeBac today—where news meets opinions, and engagement turns into rewards! 🚀
Download Now: https://feebac.com/download-feebac/

#CRajagopalachari1948 #LastGovernorGeneralIndia #IndianRepublicTransition #RajajiLeadership #GovernorGeneralExit #EndOfColonialEra #RajagopalachariAI #IndiaBecomesRepublic #PostColonialIndia #RajajiHistoryVisual
#SainaNehwal2009 #SuperSeriesChampion #FirstIndianWomanWinner #BadmintonQueen #IndiaShuttlerStar #SainaMakesHistory #BadmintonVictoryAI #IndianSportsRise #SainaNehwalVisual #WomenInSportsIndia
#InternationalYogaDay2015 #YogaSolsticeCelebration #FirstYogaDayGlobal #YogaForHumanity #YogaUnitesWorld #SpiritualAwakening2015 #SolsticeCelebrationAI #YogaAsMovement",3.0,0,2025-06-21T09:31:22.000Z,https://www.instagram.com/p/DLKGvrNuIVx/,feebac_media,https://scontent-cph2-1.cdninstagram.com/v/t39.30808-6/502566750_735138713006986_4293230036913407121_n.png?_nc_cat=110&ig_cache_key=MzY1OTc2NzI5NDE1NTUxNTA3OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=pjSAe_wDGkIQ7kNvwH1fF2G&_nc_oc=AdrwDHYeNOAC0oLG6KTus4VyVIU0Ez4nkSrunYdlmOBdWZEPpQ9Fi-Uk_1AeJ-jco6g&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_gid=hxUW_LrIBu9qo-dgKafnyg&_nc_ss=7a3ba&oh=00_Af4SF5lXk27UravkUnxYjLFy22kBgChRqf7RFGaS6PSDRg&oe=6A199019,
InternationalYogaDay2015,"Happy yoga day 😊 my idol Anna ❤️ @suniel.shetty  Sir 

In a world that moves too fast, 
YOG is not just a practice — it’s a way of coming home to yourself

 #internationalyogaday2015",2.0,4,2025-06-21T07:20:37.000Z,https://www.instagram.com/p/DLJ3x_iBa70/,jigarmotivaras_official_8899,https://scontent-cph2-1.cdninstagram.com/v/t51.82787-15/620980972_17907830277162168_7927058290304017549_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_cat=100&ig_cache_key=MzY1OTcwMTUwMDI0NDI0MjE2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=R-xdbovB1zYQ7kNvwEcYDhC&_nc_oc=AdoMEygAVzwgHkYolFX_eldqxyze6yAm9xVvpSk6tKUph1DwM7F0hFIZEksPX7ULU0g&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_gid=hxUW_LrIBu9qo-dgKafnyg&_nc_ss=7a3ba&oh=00_Af5FGYcCrPquY05bEHu3NW4wG7aSuWFVwG3mAV1xt_DfyQ&oe=6A19AB3E,
InternationalYogaDay2015,"""Yoga does not just change the way we see things, it transforms the person who sees."" 

𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐘𝐨𝐠𝐚 𝐃𝐚𝐲

#21june2025 

#𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥𝐘𝐨𝐠𝐚𝐃𝐚𝐲 #internationalyogaday #internationalyogadayvizag #internationalyogadaymodi #internationalyogadaylive #internationalyogaday2025 #internationalyogadayinusa #internationalyogadaycelebrations #internationalyogadaycelebrationlive #internationalyogaday2025theme #internationalyogadayvizaglive #internationalyogadaybabaramdev #internationalyogadayspeech #internationalyogaday2024 #internationalyogaday2015 #internationalyogadayprotocol #𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥𝐘𝐨𝐠𝐚𝐃𝐚𝐲 #internationalyogadaydrawing #internationalyogadayposter #internationalyogadayessay #internationalyogaday10rupeecoinvalue #internationalyogadaydate #internationalyogadaykabmanayajatahai #internationalyogadayarticle #internationalyogadaydance",0.0,0,2025-06-21T05:57:00.000Z,https://www.instagram.com/p/DLJuNhuycyZ/,valam_tv,https://scontent-cph2-1.cdninstagram.com/v/t51.75761-15/510967339_18309921802241131_1604577204149843691_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=MzY1OTY1OTQxMTkyNjQwNDI0OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=AFSw7WksyesQ7kNvwGPrcmP&_nc_oc=AdpfEI4IRtHtP30x97eH-1JSLILLvSJOh95f__aKJUYiu_-p2jcTT5YQN16JpmWENEM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=7&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_gid=hxUW_LrIBu9qo-dgKafnyg&_nc_ss=7a3ba&oh=00_Af7DMavwZJin91NZ5XYdQuxthr0GdMIiTcOnUwj0Ypo8Uw&oe=6A19C3AC,
InternationalYogaDay2015,"☀️ Summer Solstice Blessings ☀️

May the summer sun fill your heart with light, Bringing joy and warmth, day and night.
May your days be bright, your spirits high,
As the longest day graces the sky.

(Picture taken in 2015, during a summer solstice celebration.)
#tbt #2015 #summersolstice #canalfrontpark #lewesde #lewesdelaware #lewesbeach #lewes #parkyoga #beachyoga #dimitrayoga ☀️ #dimitrayogaadventures #solstice #yoga #delawareyoga #internationalyogaday #internationalyogaday2015 #internationalyogaday2024",49.0,6,2024-06-21T11:39:56.000Z,https://www.instagram.com/p/C8efT8kR5Ce/,dimitrayoga,https://scontent-cph2-1.cdninstagram.com/v/t39.30808-6/471647702_18477881143018269_7313265912734543741_n.jpg?stp=dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_cat=103&ig_cache_key=MzM5NTI4ODg3OTIyOTAxNDE3NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=0MoGU6TRx0YQ7kNvwGFhFVc&_nc_oc=AdqfdoCuKTFaAp2j4q16PvlJD_jQ650_JOzLxKX9er4OjzERPzVcVaI3XIepGRA6beE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_gid=hxUW_LrIBu9qo-dgKafnyg&_nc_ss=7a3ba&oh=00_Af7kCO_yA0_sr18GjuUT2bpyNzDL7sVtl3YJAohzQDMj2A&oe=6A19B0C3,
InternationalYogaDay2015,"International Olympic Day 🏏🏑🏒🎾🏸⚽🏀
June 23👍👍Theme:- Let's move 👇👇👇
.
.
#followme #yogachallenge #yogateacher #internationalyogaday2019 #intags #likeforfollow #internationalyogadayofyoga #internationalyogaday2020 #internationalyogadaywithalo #follow4like #autolike #follow4follow #f4like #like4like #yogadude #instlike #likeforlikes #followforfollowback #follow #1000likes #internationalyogaday🙏 #internationalyogaday2021 #20likes #yogaeveryday #l4likeforlikesback #internationalyogaday🧘🏻‍♀️ #internationalyogaday2015 #likesforlikesback #aloyoga #instalike",22.0,0,2023-06-23T08:09:04.000Z,https://www.instagram.com/p/Ct011AZuYrd/,atm_atmanand,https://scontent-cph2-1.cdninstagram.com/v/t51.82787-15/623149151_18012734918655768_7625216198821067870_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=MzEzMTM2NDM3OTk1ODI4Mjk3Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=WSiKEgYv4RoQ7kNvwHZPSqr&_nc_oc=AdqFc9uGRyYU88gXh4BFmpM5Mjwvr4gDKRDqBQWsMCsICcxjS2KLiH8kZUSs1S-AcrA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=7&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_gid=hxUW_LrIBu9qo-dgKafnyg&_nc_ss=7a3ba&oh=00_Af7bgZQiKj6aWinhlIKIsHIiOncSBjmlPu0SVY2iUB0xNw&oe=6A198EDC,
InternationalYogaDay2015,"Happy International yoga 🙏

#internationalyogaday #internationalyogaday2019 #internationalyogaday2020 #internationalyogaday2021 #internationalyogaday2018 #internationalyogaday2022 #internationalyogaday2023 #internationalyogaday🧘🏻‍♀️ #internationalyogadaywithalo #internationalyogaday🧘‍♀️ #internationalyogaday2017 #internationalyogaday2016 #internationalyogaday🧘‍♂️ #internationalyogaday🙏 #internationalyogaday2k22 #internationalyogadaycontest #internationalyogadayofyoga #internationalyogaday2015 #internationalyogadaychallenge #internationalyogadaybandung #internationalyogadayindia #internationalyogaday🧘 #internationalyogaday2020yogalife #internationalyogaday22 #internationalyogadaycelebration",6.0,0,2023-06-21T04:38:14.000Z,https://www.instagram.com/p/CtvUHFHPBgG/,classyminii,https://scontent-cph2-1.cdninstagram.com/v/t51.82787-15/624790094_18096024212495197_304795681313864876_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=MzEyOTgwODcxMzUwMjQzMTIzOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=dbtDvvsXXGsQ7kNvwFONfMQ&_nc_oc=Adp2FGm_jd06IvYP4hLLDxoE48eH2nFH3o6pE5_e3Eb5waYpjIatUOn3wsnxTQdklFM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=7&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_gid=hxUW_LrIBu9qo-dgKafnyg&_nc_ss=7a3ba&oh=00_Af56h9RSazdKR27t5VtLuHaHs4uI8qOnQZ9XRh7QpAqPMA&oe=6A19A39E,
InternationalYogaDay2015,"Happy International Yoga Day! 
 In jivamukti yoga (a lot of bhakti in it) : Jivamukti is a physical, ethical, and spiritual practice, combining a vigorous yoga as a vinyasa-based physical style with adherence to five central tenets: shastra (scripture), bhakti (devotion), ahimsā (nonviolence, non-harming), nāda (music), and dhyana (meditation). It also emphasizes animal rights, veganism, environmentalism, and social activism.

#internationalyogaday2022 #internationalyogaday🧘‍♀️ #internationalyogadaychallenge #yogateacher #yogagirl #internationalyogadayofyoga #yogapractice #yogajourney #internationalyogadaywithalo #internationalyogaday2018 #yogapose #internationalyogaday2016 #yogadaily #yoga #yogachallenge #yogaeverydamnday #yogalife #internationalyogaday2019 #intags #internationalyogaday2020 #internationalyogaday2015 #yogainspiration #yogaeveryday #internationalyogaday🧘🏻‍♀️ #internationalyogaday2017 #internationalyogaday2021 #yogalove #yogapants #yogaeverywhere #internationalyogaday",9.0,0,2022-06-21T08:11:50.000Z,https://www.instagram.com/p/CfD2aG4Dbrc/,panashi_foundation,https://scontent-cph2-1.cdninstagram.com/v/t51.82787-15/624749127_18134251126513364_8739926957437591962_n.webp?_nc_cat=102&ig_cache_key=Mjg2NTM3MzA3NjUzODYzNzAyMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=diu7UCtlNwEQ7kNvwEdpyD3&_nc_oc=AdqXZV2shekz3K5GIttLU3wgOjlao3asYeVcp4Y22dxfpDNt6P_N4xUs1C5IQKvwHiw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_gid=hxUW_LrIBu9qo-dgKafnyg&_nc_ss=7a3ba&oh=00_Af5ptKcNZEbL9y8nFlRcnZW7n6s9HBvlaCoKhnKSVIIJxw&oe=6A19B408,
InternationalYogaDay2015,"Happy International Yoga Day!!!

 “Yoga” is derived from the Sanskrit roots, which is why Sanskrit tattoos have also become more popular in recent years.

#internationalyogaday2022 #internationalyogaday🧘‍♀️ #internationalyogadaychallenge #yogateacher #yogagirl #internationalyogadayofyoga #yogapractice #yogajourney #internationalyogadaywithalo #internationalyogaday2018 #yogapose #internationalyogaday2016 #yogadaily #yoga #yogachallenge #yogaeverydamnday #yogalife #internationalyogaday2019 #intags #internationalyogaday2020 #internationalyogaday2015 #yogainspiration #yogaeveryday #internationalyogaday🧘🏻‍♀️ #internationalyogaday2017 #internationalyogaday2021 #yogalove #yogapants #yogaeverywhere #internationalyogaday",9.0,0,2022-06-21T07:56:38.000Z,https://www.instagram.com/p/CfD0q1vD85a/,panashi_foundation,https://scontent-cph2-1.cdninstagram.com/v/t51.82787-15/620504391_18051945734453640_5605192823110887344_n.webp?stp=dst-webp_p1080x1080_sh2.08&_nc_cat=103&ig_cache_key=Mjg2NTM2NTQzMDI3MjI0OTQzNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=ehAt0kwyo3gQ7kNvwEc5isV&_nc_oc=Adq2dUS9SSL0BQD-zUDxzKY9QTJb-my2F-n2rWwekqsypGqy-muQIOSobVSaTtn2n7c&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_gid=hxUW_LrIBu9qo-dgKafnyg&_nc_ss=7a3ba&oh=00_Af6LYxDtHqoVeIqcGI0JgkYsnFyxKVw7TTCMUZyiAt6Ljg&oe=6A19B00A,
InternationalYogaDay2015,"#Throwbackmemories
Every year since 2015, Vivekanand Kendra Kanyakumari; Nagpur Branch celebrates ```International Yoga Day on 21st June.``` It is a wonderful and  event that witnesses many energetic youths and adults who take up the challenge of performing 108 सूर्यनमस्कार 's in a go!
Isn't that amazing?
.
This year due to pandemic we all met virtually for the Yog Diwas celebration. But today we are remembering our past memories and re-living those gatherings full of enthusiasm and fun. Here are some glimpses of the events in the years 2015, 2016, 2017, 2018, 2019! We hope that next year we all shall be together in this open to all Yoga Day Celebration in Nagpur.

#yoga#internationalyogaday#internationalyogaday2021 #internationalyogaday2019 #internationalyogaday2018 #internationalyogaday2017 #internationalyogaday2016 #internationalyogaday2015 #throwback #VKnagpur #VivekanandKendra #instagood #instadaily #instagram",45.0,0,2021-06-28T09:15:29.000Z,https://www.instagram.com/p/CQqJHERs4YY/,nagpur.vrmvk,https://scontent-cph2-1.cdninstagram.com/v/t51.82787-15/652913481_18094473047103409_5264636237373680899_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=MjYwNTkzNTM5NzU4NTQwMzMwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=YrnoS4f4baQQ7kNvwGPKHaL&_nc_oc=AdpBLYzEg9kPoRwUOiF2qfLcbcbv7cjn-FIYWHjOgzAN9MZY6XRsFtTw9PAAkOdc4D0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&se=7&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_gid=hxUW_LrIBu9qo-dgKafnyg&_nc_ss=7a3ba&oh=00_Af4s_hQzGVnTLOpAlCDq01kS824w0YJIEbbxzSjJJMz3BQ&oe=6A19BA1E,
