username,engagement,posts
official_dgar,3034.0,15
28bnssb_india,1056.0,1
ministryofayush,783.0,12
yog_guru_deepak,193.0,1
rajeshachari.yoga,166.0,1
hcgoncology,124.0,1
itrajamnagar,107.0,6
djayurvedacollege,105.0,3
spearcorps.indianarmy,104.0,1
yoga_shivanichikara,97.0,1
akshita_archer,93.0,1
shanti_kai01,66.0,1
aami_reels,64.0,1
corrynalia,61.0,1
alvas_naturopathy_and_yoga,52.0,2
shubhashini_bisht,49.0,1
manur_bhava,48.0,4
anita.bhadel,46.0,1
adimargamyogam,43.0,3
r.kshamaojha,42.0,1
ramanujanpa,42.0,1
iamharishvarrsethupaty,37.0,1
indiainmalawi,37.0,1
inosurya1,36.0,2
bschauhan09,34.0,1
bdgyogaday,32.0,1
amberyogaskills,31.0,1
priyanka2725verma,29.0,1
vcircle_,27.0,1
rotaractclub_srmuh,26.0,1
yoga_swathi,26.0,1
jyotiryogabetim,25.0,1
cgihou,24.0,2
yogvairaghani,23.0,1
myweltywellness,23.0,1
theyogacollective_,22.0,1
indiainuzbekistan,22.0,3
klarulnilayam,22.0,1
un_leashed_spirit,22.0,1
sanjanaprasad.yoga,20.0,1
smias_college_official,18.0,1
bangkokscoop,17.0,4
yogacademy.kz,16.0,2
lajucestascomemorativas,15.0,1
stretchwithsonic,14.0,1
chapakarma,13.0,1
yogacharya_kundan,13.0,1
parasdugad,13.0,1
official_news_explainer,13.0,1
nivedita_yogshala,13.0,1
bikram.yoga.nicaragua,13.0,1
rockbriarfarm,12.0,1
mehakaori,12.0,1
azahar_cambodia,12.0,1
harmonyinstituteherhealth,12.0,1
indiaenparaguay,11.0,2
hormone_hatha_with_hayley,11.0,1
nolavadesigns,11.0,1
athayogliving,11.0,1
idyllwild_overlook,11.0,4
gift.nest09,11.0,1
yoga_with_sheela,11.0,1
gaia_gayatri23,10.0,1
yogarvak,10.0,3
shrutivanam_official,10.0,1
ldvyoga,10.0,1
bohemeandbody,9.0,1
healingwithvishwas,9.0,1
poeticsofpractice,8.0,1
gabylazaro.ar,8.0,1
kutchentrepreneurdivas,8.0,1
soundmeditation_sarita,8.0,1
carlos.yogui,8.0,1
nitingeetansh,8.0,2
lecentrebysophie,8.0,1
kajal_yogaspiritual,8.0,1
laurasollyyoga,8.0,1
realyogabali,7.0,1
shobha_bontrapal,7.0,1
ddjharkhandd,7.0,1
melissawilsonhomes,7.0,1
iccr_saopaulo,7.0,1
divinebliss_yogabyruchivirmani,7.0,1
yogalaya_by_lax,7.0,1
dr.jaswantyog,7.0,1
yoga_with_sumina,6.0,1
yogawithtg,6.0,1
lifegurukula,6.0,1
malakhedi,6.0,2
sumeruyoga_,5.0,1
yogawithsabastine1609,5.0,1
wellnessrevolution_kerala,4.0,1
bodydeaclub,4.0,1
indiainshanghai,4.0,1
nuviaretreat,4.0,1
swasthya_mantra_yoga,4.0,1
timesg.as,4.0,1
peace_with_pinky,4.0,1
gurukulai_official,4.0,1
manish_fitness7171,4.0,1
jivanmuktalab,4.0,1
96yogacharyakaushal11,3.0,2
lap_hmo,3.0,1
hemanika_krishnan,3.0,2
jsrhospital,3.0,1
andy_thematspace,3.0,1
casa.urizonti,3.0,1
bankonyoga,3.0,1
aapla_aarogyawala,3.0,1
t.sethu,3.0,1
yogamiracle.in,3.0,1
neomlu.tapdean,3.0,1
munshinaturecure,3.0,1
rachellicon,2.0,1
r_kandwal,2.0,1
ajamsheart.studio,2.0,1
aarogyam_healthcare_yogacentre,2.0,1
joga_a_muzy,2.0,1
naylalavynaforestellgmail.com6,2.0,1
jillyshouseofyoga,2.0,1
mindfulnessyogacenter,2.0,1
healthylivingsteps,2.0,1
hemantsunariwal78,2.0,1
its_only_urvarshi,2.0,1
durgesh.koshtii,2.0,1
mplabourwelfare,2.0,3
yogintra,2.0,1
vccrkmchennai,1.0,1
lebenskunstbonn,1.0,1
emilysyogaky,1.0,1
fitzyogawellness,1.0,2
nutrifix__heal_with_micros,1.0,1
physiotherapyyogaaus,1.0,1
hridaya_yoga.shala,1.0,2
mayiyogaacademy,1.0,2
majesticyoga,1.0,1
indohasu.jp,1.0,1
cisfnortheast,0.0,1
arkansasyogacenter,0.0,1
divya_yoga__,0.0,1
global.vitalizen.app,0.0,1
furde_construction,0.0,1
manisekaranmayi,0.0,1
johnathon.erdman,0.0,1
lisabrackenwellness,0.0,1
jillbuxton12,0.0,1
dipsy_kiwi,0.0,1
fit.athlete_,0.0,1
jouvence_fitness_olympia_club,0.0,1
saiwellnesscentrekanpur,0.0,1
sachin.ghodekar.330,0.0,1
purple_sprout_organics,0.0,1
rajhouseofyoga,0.0,1
thapovana_yoga_sircilla,0.0,2
suriyasomwellness,0.0,1
yoga_withlaksh,0.0,1
fynd.no,-1.0,1
