title,year,authors,venue,citations,url
Yoga tourism: A journey towards holistic wellness,NA,"['K Manjula', 'P Kamaly', 'R Velvizhi', 'G Thirupathi']",NA,12,
First International Yoga Day was Observed on 21 June 2015,NA,['B Ki-moon'],NA,0,http://gewashington.blogspot.ae/2015/?view=classic
Yoga-based and Mindfulness-based cognitive research: A decade prior and following the announcement of International Day of Yoga,NA,"['N Saini', 'K Maity', 'J SHARMA', 'P Sarpal']",Frontiers in Integrative …,0,https://www.frontiersin.org/journals/integrative-neuroscience/articles/10.3389/fnint.2025.1556818/abstract
Celebration of International Yoga Day,NA,"['H Patil', 'M Director', 'MA Nashik', 'DGM Mahajan']",NA,0,http://210.212.188.196:8080/jspui/bitstream/123456789/1386/3/May-June_20181.pdf
IDA celebrated International Yoga Day 21st June 2022,NA,['SM Abhiyan'],NA,0,https://openurl.ebsco.com/fulltext/gcd:158357118
Yoga for the World,NA,"['Y Sahu', 'R Deshmukh']",Agriculture and Rural Development: Spatial …,0,https://www.researchgate.net/profile/Santosh-Mane-2/publication/343690207_Morphometric_Characteristics_Analysis_of_Bend_Nala_using_GIS_and_Spatial_Data/links/5f4b6911458515a88b8ca8c5/Morphometric-Characteristics-Analysis-of-Bend-Nala-using-GIS-and-Spatial-Data.pdf#page=47
"YOGA: A HOLISTIC SCIENCE FOR HEALTH, MIND AND HARMONY",NA,['DN Gujarkar'],NA,0,https://upa.org.in/adminserver/uploadedImage/reserch/60945.pdf
Exploring economic opportunities for Yoga as a soft power Industry in the global wellness market,NA,"['P Kumari', 'KK Shrilata', 'A Rai', 'M Vijay']",NA,0,https://www.researchgate.net/profile/Priyanka-Kumari-57/publication/400142721_Exploring_economic_opportunities_for_Yoga_as_a_soft_power_Industry_in_the_global_wellness_market/links/697a3a3b5d60ab483568ceca/Exploring-economic-opportunities-for-Yoga-as-a-soft-power-Industry-in-the-global-wellness-market.pdf
Yoga and The Right to Health: International Legal Perspectives,NA,['TS Devi'],Dialogue on Wellness: A Multidisciplinary Approach,0,https://www.researchgate.net/profile/Vd-Disha-Chhatbar/publication/396194239_Inner_Peace_Outer_Justice_Reimagining_Law_and_Human_Rights_Through_the_Yogic_Lens/links/68e1205b9383755fd70935f9/Inner-Peace-Outer-Justice-Reimagining-Law-and-Human-Rights-Through-the-Yogic-Lens.pdf#page=50
Yoga & Indian Cultural Heritage,NA,['H Maheshwari'],Yoga: Tradition to Transformation,0,https://www.researchgate.net/profile/Dr-Garima-3/publication/398078146_Editor_in_Chief_Associate_Editor/links/6929aa70e889e65e796a7004/Editor-in-Chief-Associate-Editor.pdf#page=34
RESEARCH PROJECT On THE GLOBALIZATION OF YOGA: WESTERN CULTURE AND ADAPTED YOGA,NA,"['MP Bhatt', 'N Gupta']",NA,0,https://www.academia.edu/download/122996129/Yoga_Neelam.pdf
Yoga as an Eco-therapy for Achieving United Nations Sustainable Development Goals: An Explorative Study,2026,"['A Jagannathan', 'P More', 'V Kumar']",International …,2,https://pmc.ncbi.nlm.nih.gov/articles/PMC12931643/
