year,keyword,score
2015,International Day of Yoga,5.25
2015,International Yoga Day,6.5
2015,InternationalYogaDay,0.0
2015,Yoga Day,11.583333333333334
2016,International Day of Yoga,3.75
2016,International Yoga Day,5.25
2016,InternationalYogaDay,0.0
2016,Yoga Day,10.166666666666666
2017,International Day of Yoga,3.8333333333333335
2017,International Yoga Day,5.416666666666667
2017,InternationalYogaDay,0.0
2017,Yoga Day,11.166666666666666
2018,International Day of Yoga,4.916666666666667
2018,International Yoga Day,6.75
2018,InternationalYogaDay,0.0
2018,Yoga Day,12.583333333333334
2019,International Day of Yoga,5.0
2019,International Yoga Day,7.5
2019,InternationalYogaDay,8.333333333333334
2019,Yoga Day,13.166666666666666
2020,International Day of Yoga,10.333333333333334
2020,International Yoga Day,8.416666666666666
2020,InternationalYogaDay,0.0
2020,Yoga Day,15.666666666666666
2021,International Day of Yoga,14.416666666666666
2021,International Yoga Day,11.833333333333334
2021,InternationalYogaDay,0.0
2021,Yoga Day,15.166666666666666
2022,International Day of Yoga,11.333333333333334
2022,International Yoga Day,11.666666666666666
2022,InternationalYogaDay,0.0
2022,Yoga Day,17.25
2023,International Day of Yoga,7.416666666666667
2023,International Yoga Day,9.5
2023,InternationalYogaDay,0.0
2023,Yoga Day,15.416666666666666
2024,International Day of Yoga,6.0
2024,International Yoga Day,7.5
2024,InternationalYogaDay,0.0
2024,Yoga Day,12.583333333333334
2025,International Day of Yoga,7.0
2025,International Yoga Day,8.0
2025,InternationalYogaDay,5.166666666666667
2025,Yoga Day,14.833333333333334
