channel,count,Category
WION,31,News
India Today,29,News
Ministry of Ayush,24,Government
Narendra Modi,15,Political
DD India,11,News
NDTV,10,News
CNN-News18,9,News
Republic World,8,News
Times Now,7,News
Ministry of Information & Broadcasting,6,Government
Aaj Tak,5,News
ISCM of Sri Balaji Vidyapeeth,5,Education
Indian Diplomacy,5,Political
DD News,5,News
FBC TV,5,News
Sadhguru,4,Religious
Sansad TV,4,News
Bharatiya Janata Party,4,Political
wswd 2025,4,Wellness
Yoga 4 Unity,4,Wellness
Morarji Desai National Institute of Yoga (MDNIY),4,Education
Directorate Ayurved Uttarakhand,4,Education
"Ministry of External Affairs, India",3,Diplomatic
NEWS9 Live,3,News
Fact Navigate,3,News
Times Of India,3,News
Mango News,3,News
Oneindia News,3,News
ANI News,3,News
ABP NEWS,3,News
Nirogi Duniya,3,Diplomatic
"India in South Sudan- Embassy of India, Juba",2,Diplomatic
Drishti IAS : English,2,Diplomatic
Bharat Swabhiman,2,Government
Firstpost,2,News
Yoga With Adriene,2,Wellness
Yoga With Modi,2,Political
Associated Press,2,News
TRT World,2,News
Yog Yogi Yoga,2,Wellness
Onlooker,2,News
euronews,2,News
SheelTalks,2,News
NYOOOZ TV,2,News
NMF News,2,News
CNBC-TV18,2,News
PsycheTruth,2,Wellness
Doordarshan National,2,News
Yogahitha Foundation,2,Education
Ashima Gupta (VedaQHealthfulness),2,Wellness
Glamrs,2,Yoga
Rishikesh Writings,2,News
EMPC-IGNOU,2,Education
Drishti IAS,2,Diplomatic
Nayi Drishti,2,Religious
G28 News,1,News
Zee TV Middle East,1,News
JJ Filmworks,1,Cultural
"High Commission of India ,Kuala Lumpur",1,Diplomatic
Sky News,1,News
AIR NEWS KOHIMA,1,News
High Commission of India Brunei Darussalam,1,Diplomatic
chandu vlogs,1,Yoga
Swami Jyotirmayananda Society,1,Education
InKhabar Official,1,News
Vivekananda Kendra,1,Education
BYJU'S IAS,1,Diplomatic
PRAJNA FOUNDATION ,1,Education
VISION TV WORLD,1,News
ET Now,1,News
"Embassy of India, Muscat",1,Diplomatic
Martha Donnelly,1,Yoga
Al Jazeera English,1,News
P1NEWS,1,News
Brianna Roberts,1,News
UN Uzbekistan,1,Diplomatic
Prince Academy,1,Education
The Mantra Room Brisbane,1,Yoga
World News Channel,1,News
Achoose World,1,Culture
Arihant Online Academy,1,Education
India at United Nations,1,Diplomatic
moneycontrol,1,Business Media
Chirag Hakked,1,Diplomatic
IDY Dubai,1,Diplomatic
YogaPartner,1,Yoga
ki & ka,1,Culture
RUSSI WALA,1,Diplomatic
Kreethi S. Sannecy,1,Education
Dayandnightnews Chd,1,News
Buddha Dharma ,1,Religious
MOM&MISHKA,1,Education
AFP Deutsch,1,News
Aspirants Yard,1,Education
Vadodara Airport ,1,Travel
TTT Live Online,1,News
CGTN,1,News
Wellspring Cancer Support,1,Wellness
Narayana Health,1,Wellness
Food Safari,1,Wellness
Swati Dey,1,Education
Pop Culture Insights,1,Cultural
Privi Creation,1,Education
RAMDAS PRABHU,1,Religious
CBS Chicago,1,News
Business Today,1,News
Buddha-CEO,1,Business Media
India in USA,1,Diplomatic
YogPathshala ,1,Education
World Health Organization South-East Asia Region - WHO SEARO,1,Diplomatic
Zee 24 Taas,1,News
Abhyas School of Yoga,1,Wellness
IndiaTV News English,1,News
U.S. Embassy India,1,Diplomatic
Master Mind Ai,1,Business Media
ZeeCinemaME,1,Culture
The Tribune,1,News
South Asia Newsline,1,News
BLACKCATS OFFICIAL,1,Gaming
AIRS ,1,Education
Smile Please World,1,Education
Headlines Today,1,News
euronews (deutsch),1,News
B Positive,1,Education
TVC News Nigeria,1,News
New Delhi Times,1,News
India in Estonia,1,Diplomatic
AT World News,1,News
CNA,1,News
Al Arabiya English,1,News
Minakshi's Classroom,1,Education
Ayush TV,1,Diplomatic
OPRK Entertainment,1,Culture
"Triton Logistics & Maritime, Abrao Group Company",1,Business Media
NWRailways,1,Business Media
The Hindu Temple Society of North America,1,Religious
Aliturka T,1,Yoga
Tv9 Kannada,1,News
accessKTV,1,News
Mantram ,1,Yoga
iShine Yoga & Wellness,1,Wellness
SWEAT Power Yoga,1,Wellness
Just Breathe,1,Yoga
"India in Bhutan (Embassy of India, Thimphu)",1,Diplomatic
Embassy of India Belgrade,1,Diplomatic
Yoga Wellness Center,1,Wellness
International Day of Yoga,1,Diplomatic
Diya TV,1,News
Nippon India Mutual Fund,1,Business Media
BangkokScoop,1,News
Eliza Coolsma,1,Yoga
Asian Media Broadcasting,1,News
NTV Telugu,1,News
United Nations,1,Diplomatica
Wellness To Go ヨガ&瞑想,1,Wellness
Tejaswini Manogna,1,Yoga
IPR DEPARTMENT- GOVT. OF SIKKIM,1,Diplomatic
"Sivananda Yoga Centre, Gurgaon",1,Wellness
"HIGH COMMISSION OF INDIA WELLINGTON, NEW ZEALAND",1,Diplomatic
yoginimelbourne,1,Wellness
ASTHRA TV PLUS,1,News
Bharatha Yoga ,1,Yoga
WestfordCAT,1,Diplomatic
e-Physical Education,1,Education
Boho Beautiful Yoga,1,Yoga
ICCR IN SRI LANKA,1,Diplomatic
Autism Society Philippines,1,Education
Chandru Mahtani,1,Other
YENRI,1,Religious
Journey Through Nature,1,Wellness
Michelle Martone YOGA,1,Yoga
Sadhguru Tamil,1,Religious
Arianna Elizabeth,1,Yoga
Isha Malaysia,1,Religious
AIIAGOA,1,Education
Well+Good,1,Wellness
INDIAN YOGAYURVED ACADEMY BY DR PORNIMA ,1,Education
MS Society UK,1,Education
Roads To Bliss,1,Wellness
Screen Awards,1,Culture
bharat yoga,1,Yoga
Best Buy Wellness Zone,1,Wellness
"Embassy of India, Caracas",1,Diplomatic
SRDAV Resource Centre,1,Education
Yoga Osaka,1,Wellness
Stronger Seniors,1,Wellness
prana yogawellness,1,Wellness
Loksatta,1,Wellness
Satvik Yogi,1,Wellness
Indo Thai News,1,News
YogabyShraddha,1,Wellness
"Information & PR, J&K",1,Diplomatic
NEHA BHATTACHARYA,1,Yoga
CorD Magazine Politics:Business:Diplomacy:Society,1,Culture
YOYO TV Channel,1,Culture
"High Commission of India Mbabane, Eswatini",1,Diplomatic
Kishan's University of Sustainability Telugu,1,Education
DS YOGA,1,Wellness
BCCL - Bharat Coking Coal Limited,1,Industry
EMRS KURUPAM,1,Education
Sanatan Dharma (सनातन धर्म),1,Religious
Brahma Kumaris,1,Religious
Godlywood Studio,1,Religious
Shantikunjvideo Gayatri Pariwar,1,Religious
AmityUni,1,Education
SPEFL-SC,1,Education
Divya Jyoti Jagrati Sansthan,1,Religious
"HealThyRam - Wellness of the Body, Mind and Soul",1,Wellness
BSF_India,1,Military
PIB India,1,Government
Jain Vishva Bharati Institute Ladnun,1,Religious
Beginners Yoga,1,Wellness
Sailor Today,1,Business Media
The Arogya Yoga Trinetr Insight ,1,Wellness
Zee Telugu News,1,News
Saas Bahu aur Saazish,1,News
V-SAT Media,1,News
UPSC AKHADA,1,Religious
MAKE IN INDIA TV,1,News
Coming Bharat,1,News
Youth Veerangnayen,1,Education
Minz boy21,1,Culture
INO SURYA,1,Wellness
The actual me ,1,Culture
Hitkar Yuva,1,Culture
Knowledge & Guidance,1,Education
Keshav Anand Das - HINDI,1,Religion
EARLY POST DAILY NEWSPAPER,1,News
Srishti GK,1,Education
Bharat 24 - Vision Of New India,1,News
Yoga With Bini,1,Wellness
Yoga Se Hi Hoga I Giirish Anand,1,Wellness
Hindustan Times,1,News
AJ FITZONE,1,Wellness
Nasheman News,1,News
Rajeev Raval,1,Yoga
"DIRECTORATE OF AYUSH, J&K",1,Diplomatic
BETON BRUT,1,Culture
KVS HQ,1,Educationi
"Dronagiri High School English Medium, Karanja-Uran",1,Education
Bhagyalaxmi,1,Culture
habit of yoga ,1,Wellness
The Great Police,1,Other
Yoga by Geet,1,Wellness
Running & Cycling with Jerry,1,Wellness
raja narasimharao,1,Culture
GS CRAZE ,1,Culture
B.K. Dr. Reena,1,Culture
Parmarth Niketan,1,Religious
The Art of Living Dharma Sthambha Yojana,1,Religious
The Light,1,Culture
The Yoga Traveler,1,Wellness
RAJ ENGLISH SCHOOL,1,Education
Nehru Yuva Kendra Varanasi,1,Education
VIRENDRA DR,1,Culture
Biswajeet samal,1,Culture
Madhav University,1,Education
Research Institute of Unani Medicine srinagar,1,Education
Navjeevan neswsd,1,Culture
GREEN VALLEY INTERNATIONAL SCHOOL,1,Education
Kailasa Records ,1,Culture
InfoByGuru Ji,1,Education
Qvive ,1,News
NFDC India,1,Culture
Arham Dhyan Yog,1,Yoga
EVERGREEN PUBLIC SCHOOL,1,Educationi
Eastern Railway,1,Company
RhythmDancePrapti Mehta ,1,Culture
Shubh Pandey,1,Culture
Ministry of Minority Affairs,1,Government
DAVians Unite,1,Culture
Mark Tullius,1,Culture
Live Holistic,1,Wellness
Laura Plumb,1,Yoga
NewsX Live,1,News
YaleCourses,1,Education
Bharat Yogavidya Kendra,1,Education
LU SISI,1,Culture
i24NEWS English,1,News
SANTV UK,1,News
Manushi Yoga,1,Wellness
WCCO - CBS Minnesota,1,News
In Goa 24x7,1,News
FRANCE 24 English,1,News
tvbharat24,1,News
MIRROR NOW,1,Culture
