channel,institutional,media,other,wellness,total
Ministry of Ayush,34,0,0,0,34
ISCM of Sri Balaji Vidyapeeth,0,0,3,9,12
DD News,3,8,0,0,11
FBC TV,3,7,1,0,11
Ministry of Information & Broadcasting,10,0,0,0,10
International Day of Yoga,2,0,0,8,10
NDTV,6,3,0,0,9
Sadhguru,0,0,0,8,8
India Today,8,0,0,0,8
ABP NEWS,2,5,0,0,7
Narendra Modi,7,0,0,0,7
Aaj Tak,3,4,0,0,7
Nirogyog by namrata,1,0,4,1,6
Dr. Praveena Shetty,0,0,0,6,6
FijiGovernment,6,0,0,0,6
NYOOOZ TV,2,0,0,3,5
Ann Swanson Wellness,0,0,0,5,5
Godlywood Studio,0,0,0,5,5
Gokulacandra,0,0,1,4,5
Bharat Swabhiman,0,0,0,5,5
Times Of India,5,0,0,0,5
Cleveland Clinic,0,0,4,0,4
Veronica Munoz,0,0,0,3,3
The Telegraph,2,1,0,0,3
The Mantra Room Brisbane,0,0,0,3,3
Yogiraj SatGurunath Siddhanath,0,0,0,3,3
Balance Yoga & Wellness,0,0,0,3,3
Indian Diplomacy,3,0,0,0,3
Sundara Krishnaswami,0,0,0,3,3
InKhabar Official,1,0,1,1,3
Glamrs,0,0,0,3,3
Gaiam,0,0,0,3,3
ABS-CBN News,0,3,0,0,3
Oneindia News,3,0,0,0,3
Fiji One,0,0,3,0,3
Arun Saraogi,0,0,2,1,3
Dr. Levry,0,0,0,3,3
NMF News,3,0,0,0,3
NTV Telugu,1,0,0,2,3
Dharmesh Singh Tomar,0,0,0,3,3
DR. ANUP Roy,2,0,0,1,3
Unravel The Thread,0,0,0,3,3
Morarji Desai National Institute of Yoga (MDNIY),0,0,0,3,3
News7 Tamil,2,0,0,0,2
NFDC India,2,0,0,0,2
NDTV GOOD TIMES,0,2,0,0,2
Anahata Yoga Zone,0,0,0,2,2
Amrit Yoga Institute,0,0,0,2,2
PMO India,2,0,0,0,2
Patanjali Japan Foundation,0,0,2,0,2
Meditative Mind,0,0,2,0,2
MediaoneTV Live,0,0,1,1,2
Mango News,2,0,0,0,2
LymphomaCanada,0,0,0,2,2
Associated Press,0,0,0,2,2
LTA Fiji,0,1,1,0,2
Knowledge and Masti,0,0,2,0,2
Ali Kamenova | Strength Density Training™,0,0,0,2,2
Swaroopyog Pratishthan - Swami Madhavananda,0,0,2,0,2
"India in South Sudan- Embassy of India, Juba",2,0,0,0,2
TAO CENTR,0,0,0,2,2
India at United Nations,2,0,0,0,2
The Hindu Temple Society of North America,0,0,0,2,2
Vasudeva Kriya Yoga With Rajendra,0,0,0,2,2
Vedanta Society of Northern California,0,0,0,2,2
Il Decimo Toro,0,0,0,2,2
Vijay Sonam,0,0,2,0,2
Big Review TV,0,0,0,2,2
Vinayak V. Astekar,0,0,1,1,2
WCCO - CBS Minnesota,0,0,0,2,2
World News Channel,1,1,0,0,2
Yoga & Ayurveda with Teacher Scott,0,0,0,2,2
FitVit,0,0,0,2,2
Brahma Kumaris,1,0,0,1,2
Fine Arts Club,0,0,0,2,2
Yoga Factory Online Classes,0,0,0,2,2
Fiji Sun Digital,0,0,2,0,2
Yoga With Adriene,0,0,0,2,2
YouAligned,0,0,0,2,2
Eswatini TV,0,0,2,0,2
Embassy of India Tokyo,2,0,0,0,2
Eliza Coolsma,1,0,0,1,2
ET Now,2,0,0,0,2
Zee 24 Taas,0,0,0,2,2
bharat yoga,0,0,0,2,2
CGTN,1,0,0,1,2
Dr. Ankita Sood Yoga,0,0,0,2,2
euronews,1,1,0,0,2
Deepankar Dutta,0,0,0,2,2
hellomyyoga,0,0,0,2,2
林誠,0,0,2,0,2
NewspointTV,1,1,0,0,2
"Ministry of External Affairs, India",2,0,0,0,2
Cathy Madeo Yoga,0,0,0,1,1
Centerpeace Yoga and Wellness,0,0,0,1,1
Cetaphil PH,0,0,0,1,1
Chandru Mahtani,0,0,0,1,1
Channels Television,0,0,1,0,1
Chelsea Simon,0,0,1,0,1
Chirag Hakked,0,0,0,1,1
