PMID,Title,Year,Journal,Abstract
42391797,"Does laughter yoga really improve fatigue, sleep quality and psychological wellbeing in people living with MS?",2026,Multiple sclerosis and related disorders,
42390279,Systematic review and meta-analysis of lifestyle modification interventions and their impact on seizure reduction and quality of life.,2026,Epilepsia,"This study was undertaken to provide an overview of the research landscape and evaluate the impact of lifestyle modifications on seizure reduction and quality of life in people with epilepsy receiving standard medical treatment. Following PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines, we conducted a systematic review of major databases (Medline, Embase, American Psychological Association PsycInfo, Cochrane Library, and Web of Science) through November 2025. After screening 5151 articles, 118 studies met inclusion criteria: prospective trials reporting seizure frequency in adults or mixed populations with epilepsy. Four epilepsy-trained reviewers independently assessed studies. A random-effects meta-analysis was performed on studies reporting ≥50% seizure reduction or data allowing its calculation. Short-term response was defined as the earliest postintervention time point, and long-term response as the final reported time point. The 118 studies covered diet (n = 33), supplements (n = 20), biofeedback (n = 14), psychosocial/behavioral therapy (n = 13), yoga/meditation/mindfulness (n = 8), music therapy (n = 7), and others. Fifty-two (44%) included control groups, whereas 91 (77%) reported statistical analysis of seizure frequency. Among those, 68% showed significant seizure reduction. Quality of life was assessed in 31 studies, 68% reporting improvement. Seventy-one studies (60%) were included in the meta-analysis. Overall, the ≥50% seizure reduction response rate was 44% for short-term outcomes (95% confidence interval [CI] = 38%-50%) and 50% for long-term outcomes (95% CI = 44%-56%). Dietary interventions had the largest evidence base (n = 33), with short- and long-term response rates of 40% and 51%, respectively. Meditation/yoga/mindfulness had the highest response rate (62% short term, 79% long term), whereas exercise and supplements had the lowest (30%-35%). Lifestyle modifications may offer beneficial, adjunctive effects on seizure control. However, the current evidence is limited by variability in study design and quality. Larger, well-designed trials with standardized outcomes are needed to clarify how these interventions can complement epilepsy treatment. This systematic review and meta-analysis serves as a foundation for future research to better define the role of lifestyle interventions in epilepsy care."
42388735,Effects of mind-body therapies on sleep quality in perinatal women: a systematic review and meta-analysis of randomized controlled trials.,2026,Frontiers in public health,"Sleep quality often worsens in perinatal women because of physiological, endocrine, and psychosocial changes. This may increase the risk of maternal and infant complications, making it a public health concern. Because pharmacological treatments may pose safety risks, mind-body therapies have gained attention as a safe non-pharmacological option. However, current evidence mainly focuses on single intervention types, and their overall effect on sleep quality in perinatal women remains unclear. We systematically searched seven databases-PubMed, Web of Science, Embase, the Cochrane Library, Scopus, EBSCO, and ScienceDirect-and other sources up to January 20, 2026, to identify randomized controlled trials examining the effects of mind-body therapies on sleep quality in perinatal women. Two reviewers independently screened the literature, extracted the data, and assessed the risk of bias using the Cochrane Risk of Bias 2 (ROB2) tool. Meta-analysis was performed in Stata 17 using a random-effects model. Subgroup, sensitivity, and publication bias analyses were also conducted. In addition, the certainty of evidence for the primary outcome was assessed using the Grading of Recommendations Assessment, Development and Evaluation (GRADE) approach. A total of 13 randomized controlled trials involving 782 participants were included. The main interventions were mindfulness, Pilates, and yoga. Meta-analysis showed that, compared with controls, mind-body therapies significantly improved sleep quality in perinatal women (MD = -2.63, 95% CI -3.36 to -1.90). However, substantial heterogeneity was observed across studies (I<sup>2</sup> = 89.0%, <i>P</i> < 0.001). Subgroup analyses showed significant between-group differences by country (<i>P</i> < 0.05), intervention duration (<i>P</i> < 0.01), and session length (<i>P</i> < 0.05), suggesting that these factors may partly explain heterogeneity. Sensitivity analysis and risk-of-bias assessment suggested that the results were statistically robust, and no significant publication bias was detected (<i>P</i> = 0.900). According to GRADE, the certainty of evidence for the primary outcome was rated as low. Mind-body therapies effectively improve sleep quality in perinatal women and may serve as a useful adjunct in clinical sleep health management. However, the certainty of evidence was rated as low according to GRADE; therefore, these findings should be interpreted cautiously and further confirmed by high-quality studies. https://www.crd.york.ac.uk/PROSPERO/view/CRD420261290532, identifier: CRD420261290532."
42385762,"Global, regional, and national burden of tuberculosis and multidrug-resistant tuberculosis by HIV status, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023.",2026,The Lancet. Infectious diseases,"Tuberculosis (TB) is the leading global cause of death from a single infectious agent. Recent reductions in global health funding have threatened TB control, making comprehensive assessment of TB, HIV-related TB, and drug-resistant TB burdens before these disruptions essential for shaping effective responses. The WHO End TB Strategy sets targets of a 95% reduction in TB deaths and a 90% reduction in TB incidence between 2015 and 2035. Using results from the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) 2023, this study aims to assess the burden of TB and multidrug-resistant TB (MDR-TB) across 204 countries and territories, and to evaluate progress towards the WHO End TB incidence and mortality targets. We quantified TB mortality using the Cause of Death Ensemble modelling platform with global vital registration, surveillance, verbal autopsy, and minimally invasive tissue sampling data. For TB morbidity estimation, we simultaneously modelled incidence, prevalence, and mortality by age and sex using DisMod-MR 2.1. A population attributable fraction (PAF) approach was applied to stratify morbidity and mortality estimates by HIV and drug-resistance status. We also calculated disability-adjusted life-years (DALYs) as the sum of years of life lost and years lived with disability. For the risk factor analysis, a comparative risk assessment framework was used and PAFs were derived for alcohol use, smoking, and high fasting plasma glucose to determine the proportion of TB burden associated with these risk factors. In 2023, there were an estimated 9·11 million (95% uncertainty interval 8·04-10·3) incident cases of all-form TB, 1·22 million (0·98-1·49) deaths, and 54·6 million (43·8-65·5) DALYs globally. HIV-related TB comprised 781 000 (690 000-879 000) incident cases and 210 000 (142 000-279 000) deaths, contributing 11·0 million (7·56-14·3) DALYs. MDR-TB accounted for 466 000 (198 000-1 080 000) incident cases, 102 000 (31 700-238 000) deaths, and 3·96 million (1·31-9·01) DALYs. From 2015 to 2023, global all-form TB incidence rates declined by 19·2% (17·8-20·5) and deaths declined by 22·6% (4·7-35·7); declines were larger for drug-susceptible TB than for MDR-TB. Sub-Saharan Africa and south Asia had the highest mortality burdens in 2023; reductions in all-form TB incidence and mortality were uneven between 2000 and 2023, with limited progress in both measures in Latin America and the Caribbean. Removing smoking, alcohol use, and high fasting plasma glucose would reduce global TB deaths to 768 000 (592 000-970 000) and DALYs to 34·9 million (27·8-43·8) in 2023; MDR-TB deaths would decrease to 77 200 (23 400-183 000) and DALYs to 3·12 million (1·03-7·29). Global progress towards WHO End TB targets is disparate and fragile. Although many regions achieved meaningful gains, others have stagnated in recent years. The complexity of TB prevention is amplified by divergent MDR-TB trends, the persistent burden of HIV, and growing exposure to modifiable risk factors. Recent volatility in global health financing threatens to further destabilise this vulnerable epidemiological landscape; concerted action is urgently needed to temper disruptions and preserve progress. Gates Foundation."
42385470,"Physical activity, indoor air pollution, and cognitive function among older-adults in India: Evidence of gendered environmental disadvantage.",2026,Social science & medicine (1982),"Cognitive health in later life is shaped by both individual behaviours and the social and environmental conditions in which ageing occurs. Guided by the Stress Process Model, this study conceptualises indoor air pollution as a chronic environmental stressor that may constrain the cognitive benefits of health-promoting behaviours such as physical activity in later life. Using nationally representative data from the Longitudinal Ageing Study in India (LASI Wave 1), we examine the independent and joint associations of physical activity and indoor air pollution with cognitive function among 31,902 community-dwelling adults aged 60 years and older, with particular attention to gender differences. Cognitive function was assessed using a composite measure across multiple cognitive domains. Indoor air pollution exposure was defined using information on cooking fuel type, stove technology, cooking location, and ventilation. Physical activity was measured as self-reported engagement in moderate or vigorous activity or yoga-based practices. Multilevel linear regression analyses showed that physical activity was consistently associated with better cognitive performance, whereas exposure to indoor air pollution was associated with poorer cognitive outcomes. Although no overall interaction was observed in the full sample, but a significant gender-specific patterns emerged. Among women, exposure to indoor air pollution substantially reduced the cognitive benefits associated with physical activity, a pattern not observed among men. These findings highlight indoor air pollution as a gendered environmental constraint on healthy cognitive ageing and suggest that behavioural interventions alone may be insufficient in polluted household environments, particularly in low- and middle-income countries such as India."
42379691,Beyond Pills: Integrative Approaches to Pain Relief.,2026,Physical medicine and rehabilitation clinics of North America,"Chronic pain affects over 50 million Americans and contributes to rising disability, opioid dependence, and healthcare utilization. As the limitations of pharmacologic-only strategies become increasingly evident, integrative approaches offer a compelling, evidence-based alternative. This article reviews complementary, alternative, and integrative medicine modalities commonly used in chronic pain management, including manual therapies (craniosacral, chiropractic, and massage), movement-based therapies (yoga, tai chi, Alexander technique, Feldenkrais method, Pilates, qigong), acupuncture, transcutaneous electrical nerve stimulation, scrambler therapy. These approaches support holistic, patient-centered care that engages the body's innate healing capacity and may reduce reliance on opioids."
42378742,Effectiveness of community-based physical activity models in improving quality of life among elderly: A systematic review.,2026,Atencion primaria,"To evaluate the effectiveness of community-based physical activity models in improving the physical, psychological, and social dimensions of quality of life (QoL) among community-dwelling older adults aged 60 years and above. Systematic review. PubMed, Scopus, and ScienceDirect (January 2020 to July 2025). Empirical studies, including randomized controlled trials (RCTs), quasi-experimental, and pre-post designs, focusing on community-based physical activity programs for older adults aged ≥60 years compared to inactive controls, standard care, or non-physical interventions. Independent data extraction and risk of bias assessment using Cochrane RoB 2 and ROBINS-I tools. A systematic narrative synthesis adhering to Synthesis Without Meta-analysis (SWiM) guidelines was conducted. Thirteen studies involving 2256 older adults were included. Multicomponent programs yielded the most consistent improvements. Significant physical findings included a fall incidence reduction from 51.8% to 31.4%, an 0.81-point increase in Short Physical Performance Battery (SPPB) scores, and a 7.5-point increase in the Barthel Index. Cognitive outcomes improved, evidenced by a 3-point average increase in Montreal Cognitive Assessment (MoCA) scores. Psychologically, resistance and yoga interventions reduced psychological distress by approximately 18%, while high-intensity aerobic exercise yielded an 8.6-point decrease in Hamilton Depression Rating Scale (HAMD-17) scores. Community-based, multicomponent physical activity interventions sustained for ≥12 weeks at a frequency of 2-5 sessions per week are highly effective in improving physical, cognitive, and psychological outcomes. Integrating culturally adapted practices and digital technologies enhances intervention feasibility, adherence, and long-term engagement."
42372329,Hybrid III lumbar spinal column injury risk curves from vertical impact.,2026,Journal of the mechanical behavior of biomedical materials,"Musculoskeletal injuries from underbody blasts due to the detonation of improvised explosive devices (IED) impart dynamic loading to the human vertebral column via the pelvis region, and the primary insult from the IED is absorbed first by the lumbar spine before it traverses to the thoracic and cervical spines. Injuries from these scenarios have been documented in many clinical and retrospective studies. Although the dynamic response index continues to be used to predict lumbar spine injuries, it is based on the accelerations of the seat pan. A need exists to develop lumbar spine injury criteria for human surrogates. The objective of this study was to develop lumbar spine injury criteria, in the form of injury assessment risk curves, specific to the Hybrid III anthropomorphic test device under the underbody blast vertical impact load vector. The Hybrid III human surrogate was prepared with load cells at the superior and inferior ends of the lumbar spinal column. The dynamic impact loading was applied to the inferior end of the spinal column spine using a custom vertical accelerator device. The peak axial, shear, and resultant forces at the ends of the column were obtained. The compressive force-based injury mechanism was confirmed with results from previous human cadaver lumbar spine results conducted under the same experimental protocol. The parametric survival analysis using the Weibull distribution was used to develop lumbar spine injury assessment risk curves, and using the ±95% confidence interval bounds, the quality of the risk curves at discrete injury probability levels were calculated for all metrics. At the superior end, at the mid-risk level, the estimated axial force was 14.7 kN, shear force was 2.1 kN, and resultant force was 14.8 kN, and at the 10% risk level, the estimated axial force was 6.7 kN, shear force was 0.9 kN, and resultant force was 6.7 kN. At the inferior end and at the mid-risk level, the estimated axial force was 16.7 kN, shear force was 2.8 kN, and resultant force was 16.8 kN. At the 10% risk level, the estimated axial force was 7.2 kN, shear force was 0.8 kN, and resultant force was 7.3 kN. The confidence intervals and quality of risk curves are reported in the paper. Axial forces were consistently greater than shear forces at both ends, mimicking the injury mechanisms based on fractures reported in clinical and cadaver studies from underbody blast loading scenarios. Injury risk curves at the superior end of the spine were shifted to the left for the axial, shear, and resultant forces compared to the inferior end, confirming the energy absorption and transmittal of the axial force along the spinal column. Resultant forces can be used as injury criteria because shear forces were low. The present survival analysis-based injury assessment risk curves can be used as a preliminary Hybrid III lumbar spinal column injury criteria for improving the Warfighter safety and evaluating current and future military vehicles under vertical impacts."
42370917,Indigenous perspectives of trauma-sensitive yoga using community-based and consensual qualitative frameworks.,2026,"Psychological trauma : theory, research, practice and policy","Indigenous communities endure intergenerational and ongoing traumas. Trauma Center Trauma-Sensitive Yoga (TCTSY) is an empirically supported yoga-based intervention for complex trauma. To become a TCTSY facilitator, candidates complete a 20-hr training followed by a 300-hr certification program. This community-based research documented the first Indigenous TCTSY Facilitator Training Cohort's perspectives on TCTSY's acceptability, feasibility, and utility. Protocols were developed with community partners, and researchers engaged in reflexivity practices and Indigenous cultural learnings. Twenty interviews were conducted with 15 adult interviewees: 14 program participants (13 women) who completed the 20-hr training and one program mentor. From the 14 program participants (11 Great Plains Tribal Nations, with four Tribal citizens and seven descendants), 10 enrolled in the 300-hr training, and three completed the full certification. Interviews were analyzed using the consensual qualitative research method. Most participants reported the training positively impacted their approach to trauma care and some aspects (e.g., body-based modality) aligned with current healing approaches. Common training takeaways included learning about the effects of trauma and the value of invitational language. Participants endorsed intentions to integrate TCTSY for personal and community healing; examples of integration included smudging/burning of medicines (e.g., sage), land-based practice for connection to nature, and intentional movement within ceremony space. Program improvements included additional emphasis on yoga history/philosophy, collaborations with elders, and acknowledgment of current community trauma. A community-based research framework provided opportunities to explore the feasibility, acceptability, and utility of TCTSY for Indigenous communities in a culturally relevant and trauma-informed way. (PsycInfo Database Record (c) 2026 APA, all rights reserved)."
42367537,"Structure, Reliability, and Validity of the Bengali Version of the Pain Catastrophizing Scale in Musculoskeletal Chronic Pain Patients in India.",2026,Cureus,"Elevated pain catastrophizing increases the severity of pain experience. The 13-item Pain Catastrophizing Scale (PCS) can aid in managing chronic pain. Chronic musculoskeletal pain (CMSP) is common among the native Bengali population in India seeking treatment. This study aimed to culturally adapt and psychometrically validate the original PCS under the Consensus-based Standards for the Selection of Health Measurement Instruments (COSMIN) guidelines, with a novel goal to examine the factor structure of pain catastrophizing in native Bengali CMSP patients in India and compare it with the theoretical pain appraisal model. The primary objective of this study was to translate and cross-culturally adapt the original PCS into a Bengali version for use in India (BNGA-IND-PCS). The secondary objective was to examine the psychometric properties of BNGA-IND-PCS in patients with CMSP. The Bengali version of the PCS for India (BNGA-IND-PCS) was created through forward and backward translation, evaluated by a committee of clinical and language experts, and pre-tested in 30 CMSP patients. The sample size was determined from a 10:1 sample-to-item ratio. A total of 253 CMSP patients (pain duration ≥ 6 months) from convenience sampling were included in the cross-sectional observational study to perform psychometric validation, comprising factor structure determination, internal consistency, test-retest reliability, and concurrent validity (pain severity, anxiety, and depression). Confirmatory factor analysis showed that the BNGA-IND-PCS two-factor model (pain reflection and helplessness) provided the best fit with a borderline acceptable root mean square error of approximation of 0.06. Internal consistency (Cronbach's α = 0.921) and test-retest reliability (intra-class correlation coefficient = 0.852, 95% CI: 0.772-0.903) of total BNGA-IND-PCS scores were good to excellent and adhered to the COSMIN criteria. Total BNGA-IND-PCS scores moderately correlated with pain severity, anxiety, and depression (r = 0.406-0.549, p < 0.01). The PCS translation and cross-cultural adaptation into Bengali demonstrated a two-factor structure and good-to-excellent psychometric properties in a single-sample validation. Future studies with large-scale patient samples are required to test the ""ecological validity"" under clinical settings."
